id,title,agent_role,agent_role_secondary,track,repo,epic_id,sprint,priority_rank,effort_sp,rice,wsjf,status_baseline,release_blocker,match_reason,depends_on
T-I04-003,Redis ElastiCache session,database,cloud-infra,infraestrutura,guardiao-familia-api,E-I04,2,11,5,3.24,2.0,partial,True,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I04",
T-P04-005,Push SOS parent em <30s iOS,backend,,produto,guardiao-familia-api,E-P04,5,12,5,4.5,2.4,todo,True,"track=produto,repo=guardiao-familia-api,epic=E-P04",
T-P04-006,Push SOS parent em <30s Android,backend,,produto,guardiao-familia-api,E-P04,5,13,5,4.5,2.4,todo,True,"track=produto,repo=guardiao-familia-api,epic=E-P04",
T-P03-005,Notificação entrada/saída cerca E2E iOS,qa,backend,produto,guardiao-familia-api,E-P03,6,14,5,4.32,2.0,todo,True,"track=produto,repo=guardiao-familia-api,epic=E-P03",
T-P03-006,Notificação entrada/saída cerca E2E Android,qa,backend,produto,guardiao-familia-api,E-P03,6,15,5,4.32,2.0,todo,True,"track=produto,repo=guardiao-familia-api,epic=E-P03",
T-S01-005,Review notes location background,stores-release,frontend-mobile,stores,guardiao-familia-parent,E-S01,11,16,3,7.0,3.67,todo,True,"track=stores,repo=guardiao-familia-parent,epic=E-S01",
T-S01-006,Submit production parent,stores-release,frontend-mobile,stores,guardiao-familia-parent,E-S01,11,17,3,7.0,3.67,todo,True,"track=stores,repo=guardiao-familia-parent,epic=E-S01",
T-S02-005,Submit production child,stores-release,frontend-mobile,stores,guardiao-familia-child,E-S02,11,18,3,7.0,3.67,todo,True,"track=stores,repo=guardiao-familia-child,epic=E-S02",
T-S06-008,Release: version sync matrix 4 apps,stores-release,,stores,guardiao-familia-api,E-S05,13,19,2,6.5,4.0,todo,True,"track=stores,repo=guardiao-familia-api,epic=E-S05",
T-S06-009,Release: rollback store version plan,stores-release,,stores,guardiao-familia-api,E-S05,13,20,2,6.5,4.0,todo,True,"track=stores,repo=guardiao-familia-api,epic=E-S05",
T-S03-005,Production rollout parent,stores-release,frontend-mobile,stores,guardiao-familia-parent,E-S03,12,21,3,6.5,3.33,todo,True,"track=stores,repo=guardiao-familia-parent,epic=E-S03",
T-S04-005,Production rollout child,stores-release,frontend-mobile,stores,guardiao-familia-child,E-S04,12,22,3,6.5,3.33,todo,True,"track=stores,repo=guardiao-familia-child,epic=E-S04",
T-S05-001,Checklist release blocker consolidado,stores-release,,stores,guardiao-familia-api,E-S05,13,23,5,4.2,2.4,todo,True,"track=stores,repo=guardiao-familia-api,epic=E-S05",
T-I01-005,ECR repository e lifecycle,cloud-infra,,infraestrutura,guardiao-familia-api,E-I01,1,24,5,3.6,2.4,todo,True,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I01",
T-I01-006,Service autoscaling CPU/mem,cloud-infra,,infraestrutura,guardiao-familia-api,E-I01,1,25,5,3.6,2.4,todo,True,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I01",
T-I01-007,Secrets Manager env injection,cloud-infra,,infraestrutura,guardiao-familia-api,E-I01,1,26,5,3.6,2.4,todo,True,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I01",
T-I01-008,Route53 DNS api.guardiaofamilia,cloud-infra,,infraestrutura,guardiao-familia-api,E-I01,1,27,5,3.6,2.4,todo,True,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I01",
T-I01-009,ACM cert TLS,cloud-infra,,infraestrutura,guardiao-familia-api,E-I01,1,28,5,3.6,2.4,todo,True,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I01",
T-I01-010,Documentar runbook deploy ECS,cloud-infra,,infraestrutura,guardiao-familia-api,E-I01,1,29,5,3.6,2.4,todo,True,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I01",
T-I06-002,Prod cutover checklist,cloud-infra,,infraestrutura,guardiao-familia-api,E-I06,12,30,5,3.9,2.2,todo,True,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I06",
T-P11-009,DPO sign-off release,backend,,produto,guardiao-familia-api,E-P11,8,31,5,3.6,2.0,todo,True,"track=produto,repo=guardiao-familia-api,epic=E-P11",
T-I04-002,RDS PostgreSQL multi-AZ prod,database,cloud-infra,infraestrutura,guardiao-familia-api,E-I04,2,32,5,3.24,2.0,todo,True,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I04",
T-I04-004,Backup automático PITR,database,cloud-infra,infraestrutura,guardiao-familia-api,E-I04,2,33,5,3.24,2.0,todo,True,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I04",
T-I04-005,Migration strategy zero-downtime,database,cloud-infra,infraestrutura,guardiao-familia-api,E-I04,2,34,5,3.24,2.0,todo,True,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I04",
T-I04-006,Índices performance geofence/location,database,cloud-infra,infraestrutura,guardiao-familia-api,E-I04,2,35,5,3.24,2.0,todo,True,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I04",
T-I05-005,Pen test checklist pré-release,qa,backend,infraestrutura,guardiao-familia-api,E-I05,4,36,5,3.24,1.8,todo,True,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I05",
T-P02-007,Histórico trajetos parent UI paginado,backend,,produto,guardiao-familia-api,E-P02,4,37,3,8.5,3.0,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P02",
T-P02-010,Testes integração ping batch location,backend,qa,produto,guardiao-familia-api,E-P02,4,38,3,8.5,3.0,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P02",
T-P02-012,Fallback quando GPS desligado child,backend,,produto,guardiao-familia-api,E-P02,4,39,3,8.5,3.0,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P02",
T-P05-005,Configurar APNs production certificates,frontend-mobile,,produto,guardiao-familia-parent,E-P05,3,40,3,7.0,3.67,partial,False,"track=produto,repo=guardiao-familia-parent,epic=E-P05",
T-P05-006,Configurar FCM data messages SOS,frontend-mobile,,produto,guardiao-familia-parent,E-P05,3,41,3,7.0,3.67,partial,False,"track=produto,repo=guardiao-familia-parent,epic=E-P05",
T-P04-003,Parent histórico SOS error handling,backend,,produto,guardiao-familia-api,E-P04,5,42,5,4.5,2.4,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P04",
T-P04-004,Child trigger SOS UI discreto,backend,,produto,guardiao-familia-api,E-P04,5,43,5,4.5,2.4,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P04",
T-P04-007,Escalation rules SOS sem ack,backend,,produto,guardiao-familia-api,E-P04,5,44,5,4.5,2.4,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P04",
T-P04-008,Backoffice visualizar áudio SOS,backend,,produto,guardiao-familia-api,E-P04,5,45,5,4.5,2.4,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P04",
T-P03-002,Melhorar delivery alerta geofence push,backend,,produto,guardiao-familia-api,E-P03,6,46,5,4.32,2.0,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P03",
T-P03-003,Parent UI criar/editar cerca circular,backend,,produto,guardiao-familia-api,E-P03,6,47,5,4.32,2.0,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P03",
T-S01-001,App Store Connect metadata parent PT,stores-release,frontend-mobile,stores,guardiao-familia-parent,E-S01,11,48,3,7.0,3.67,partial,False,"track=stores,repo=guardiao-familia-parent,epic=E-S01",
T-S01-003,Privacy nutrition labels parent,stores-release,frontend-mobile,stores,guardiao-familia-parent,E-S01,11,49,3,7.0,3.67,partial,False,"track=stores,repo=guardiao-familia-parent,epic=E-S01",
T-S01-004,TestFlight external beta 50 users,stores-release,frontend-mobile,stores,guardiao-familia-parent,E-S01,11,50,3,7.0,3.67,partial,False,"track=stores,repo=guardiao-familia-parent,epic=E-S01",
T-S02-001,Metadata child PT minors,stores-release,frontend-mobile,stores,guardiao-familia-child,E-S02,11,51,3,7.0,3.67,partial,False,"track=stores,repo=guardiao-familia-child,epic=E-S02",
T-S02-003,Parental gate App Store,stores-release,frontend-mobile,stores,guardiao-familia-child,E-S02,11,52,3,7.0,3.67,partial,False,"track=stores,repo=guardiao-familia-child,epic=E-S02",
T-S02-004,TestFlight child beta,stores-release,frontend-mobile,stores,guardiao-familia-child,E-S02,11,53,3,7.0,3.67,partial,False,"track=stores,repo=guardiao-familia-child,epic=E-S02",
T-I02-001,Pipeline API build test deploy,qa,backend,infraestrutura,guardiao-familia-api,E-I02,2,54,3,6.0,2.67,partial,False,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I02",
T-I02-006,EAS build child production,devops-cicd,,infraestrutura,guardiao-familia-api,E-I02,2,55,3,6.0,2.67,partial,False,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I02",
T-I02-008,Dependabot todos repos,devops-cicd,,infraestrutura,guardiao-familia-api,E-I02,2,56,3,6.0,2.67,partial,False,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I02",
T-I02-009,Template PR org-wide,devops-cicd,,infraestrutura,guardiao-familia-api,E-I02,2,57,3,6.0,2.67,partial,False,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I02",
T-P02-011,Documentar SLA ping P95,backend,,produto,guardiao-familia-api,E-P02,4,58,3,8.5,3.0,todo,False,"track=produto,repo=guardiao-familia-api,epic=E-P02",
T-P14-031,API compliance: data export job async worker,backend,,produto,guardiao-familia-api,E-P11,8,59,2,4.8,2.0,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P11",
T-P14-032,API compliance: account deletion cascade order,backend,,produto,guardiao-familia-api,E-P11,8,60,2,4.8,2.0,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P11",
T-P05-008,Testes push geofence som customizado,frontend-mobile,,produto,guardiao-familia-parent,E-P05,3,61,3,7.0,3.67,todo,False,"track=produto,repo=guardiao-familia-parent,epic=E-P05",T-P05-006
T-P05-010,Documentar matriz som x evento,frontend-mobile,,produto,guardiao-familia-parent,E-P05,3,62,3,7.0,3.67,todo,False,"track=produto,repo=guardiao-familia-parent,epic=E-P05","T-P05-005,T-P05-006"
T-P12-007,Alertas erro API no dashboard,devops-cicd,,produto,guardiao-familia-backoffice,E-P12,11,63,2,4.25,2.0,partial,False,"track=produto,repo=guardiao-familia-backoffice,epic=E-P12",
T-I06-001,Staging mirror prod config,cloud-infra,,infraestrutura,guardiao-familia-api,E-I06,12,64,5,3.9,2.2,partial,False,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I06",
T-I06-003,Feature flags system-config,cloud-infra,,infraestrutura,guardiao-familia-api,E-I06,12,65,5,3.9,2.2,partial,False,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I06",
T-I03-001,CloudWatch logs structured API,devops-cicd,,infraestrutura,guardiao-familia-api,E-I03,3,66,3,3.47,2.33,partial,False,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I03",
T-I03-003,Dashboard Grafana/BO integrado,devops-cicd,,infraestrutura,guardiao-familia-api,E-I03,3,67,3,3.47,2.33,partial,False,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I03",T-I03-001
T-P11-001,Fluxos exportação dados titular,backend,,produto,guardiao-familia-api,E-P11,8,68,5,3.6,2.0,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P11",
T-P11-002,Fluxos exclusão conta menor,backend,,produto,guardiao-familia-api,E-P11,8,69,5,3.6,2.0,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P11",
T-P11-003,Consentimento parental registrado,backend,,produto,guardiao-familia-api,E-P11,8,70,5,3.6,2.0,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P11",
T-P11-007,Parent UI privacy settings,backend,,produto,guardiao-familia-api,E-P11,8,71,5,3.6,2.0,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P11",
T-P11-008,Child UI privacy mínima,backend,,produto,guardiao-familia-api,E-P11,8,72,5,3.6,2.0,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P11",
T-P11-010,Audit log acesso dados sensíveis,backend,,produto,guardiao-familia-api,E-P11,8,73,5,3.6,2.0,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P11",
T-I05-004,S3 bucket policies SOS audio,cloud-infra,,infraestrutura,guardiao-familia-api,E-I05,4,74,5,3.24,1.8,partial,False,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I05",
T-P04-009,Testes E2E SOS com mock push,qa,backend,produto,guardiao-familia-api,E-P04,5,75,5,4.5,2.4,todo,False,"track=produto,repo=guardiao-familia-api,epic=E-P04",
T-P04-010,Runbook operacional incidente SOS,backend,,produto,guardiao-familia-api,E-P04,5,76,5,4.5,2.4,todo,False,"track=produto,repo=guardiao-familia-api,epic=E-P04",
T-P03-004,Parent UI criar/editar cerca poligonal,backend,,produto,guardiao-familia-api,E-P03,6,77,5,4.32,2.0,todo,False,"track=produto,repo=guardiao-familia-api,epic=E-P03",
T-P03-007,Testes carga geofence 100 cercas/família,backend,,produto,guardiao-familia-api,E-P03,6,78,5,4.32,2.0,todo,False,"track=produto,repo=guardiao-familia-api,epic=E-P03",
T-S01-002,Screenshots 6.7 e 5.5 parent,stores-release,frontend-mobile,stores,guardiao-familia-parent,E-S01,11,79,3,7.0,3.67,todo,False,"track=stores,repo=guardiao-familia-parent,epic=E-S01",
T-S02-002,Screenshots child,stores-release,frontend-mobile,stores,guardiao-familia-child,E-S02,11,80,3,7.0,3.67,todo,False,"track=stores,repo=guardiao-familia-child,epic=E-S02",
T-S06-001,Apple: export compliance encryption doc,stores-release,frontend-mobile,stores,guardiao-familia-parent,E-S01,11,81,2,6.5,4.0,todo,False,"track=stores,repo=guardiao-familia-parent,epic=E-S01",
T-S06-002,Apple: age rating 4+ questionnaire,stores-release,frontend-mobile,stores,guardiao-familia-parent,E-S01,11,82,2,6.5,4.0,todo,False,"track=stores,repo=guardiao-familia-parent,epic=E-S01",
T-S06-003,Apple child: COPPA parental consent copy,stores-release,frontend-mobile,stores,guardiao-familia-parent,E-S02,11,83,2,6.5,4.0,todo,False,"track=stores,repo=guardiao-familia-parent,epic=E-S02",
T-S06-004,Google: target API level 34 parent,stores-release,frontend-mobile,stores,guardiao-familia-parent,E-S03,12,84,2,6.5,4.0,todo,False,"track=stores,repo=guardiao-familia-parent,epic=E-S03",
T-S06-005,Google: target API level 34 child,stores-release,frontend-mobile,stores,guardiao-familia-child,E-S04,12,85,2,6.5,4.0,todo,False,"track=stores,repo=guardiao-familia-child,epic=E-S04",
T-S06-006,Google: in-app permissions declaration,stores-release,frontend-mobile,stores,guardiao-familia-parent,E-S03,12,86,2,6.5,4.0,todo,False,"track=stores,repo=guardiao-familia-parent,epic=E-S03",
T-S06-007,Google: designed for families program,stores-release,frontend-mobile,stores,guardiao-familia-child,E-S04,12,87,2,6.5,4.0,todo,False,"track=stores,repo=guardiao-familia-child,epic=E-S04",
T-S03-001,Play Console listing parent,stores-release,frontend-mobile,stores,guardiao-familia-parent,E-S03,12,88,3,6.5,3.33,todo,False,"track=stores,repo=guardiao-familia-parent,epic=E-S03",
T-S03-002,Data safety form parent,stores-release,frontend-mobile,stores,guardiao-familia-parent,E-S03,12,89,3,6.5,3.33,todo,False,"track=stores,repo=guardiao-familia-parent,epic=E-S03",
T-S03-003,Content rating questionnaire,stores-release,frontend-mobile,stores,guardiao-familia-parent,E-S03,12,90,3,6.5,3.33,todo,False,"track=stores,repo=guardiao-familia-parent,epic=E-S03",
T-S03-004,Internal testing track parent,stores-release,frontend-mobile,stores,guardiao-familia-parent,E-S03,12,91,3,6.5,3.33,todo,False,"track=stores,repo=guardiao-familia-parent,epic=E-S03",
T-S04-001,Play listing child designed for families,stores-release,frontend-mobile,stores,guardiao-familia-child,E-S04,12,92,3,6.5,3.33,todo,False,"track=stores,repo=guardiao-familia-child,epic=E-S04",
T-S04-002,Data safety child location,stores-release,frontend-mobile,stores,guardiao-familia-child,E-S04,12,93,3,6.5,3.33,todo,False,"track=stores,repo=guardiao-familia-child,epic=E-S04",
T-S04-004,Internal testing child,stores-release,frontend-mobile,stores,guardiao-familia-child,E-S04,12,94,3,6.5,3.33,todo,False,"track=stores,repo=guardiao-familia-child,epic=E-S04",
T-I02-010,Smoke test pós-deploy API,qa,backend,infraestrutura,guardiao-familia-api,E-I02,2,95,3,6.0,2.67,todo,False,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I02",
T-S05-002,Beta fechado 100 famílias,stores-release,,stores,guardiao-familia-api,E-S05,13,96,5,4.2,2.4,todo,False,"track=stores,repo=guardiao-familia-api,epic=E-S05",
T-S05-003,Beta aberto child polish gate,stores-release,,stores,guardiao-familia-api,E-S05,13,97,5,4.2,2.4,todo,False,"track=stores,repo=guardiao-familia-api,epic=E-S05",
T-S05-004,Comunicado lançamento site+campanha,stores-release,,stores,guardiao-familia-api,E-S05,13,98,5,4.2,2.4,todo,False,"track=stores,repo=guardiao-familia-api,epic=E-S05",
T-S05-005,Monitoramento 72h pós-release,stores-release,,stores,guardiao-familia-api,E-S05,13,99,5,4.2,2.4,todo,False,"track=stores,repo=guardiao-familia-api,epic=E-S05",
T-S05-006,Retrospectiva e backlog v2,stores-release,,stores,guardiao-familia-api,E-S05,13,100,5,4.2,2.4,todo,False,"track=stores,repo=guardiao-familia-api,epic=E-S05",
T-P12-006,Runbook suporte release,frontend-web,,produto,guardiao-familia-backoffice,E-P12,11,101,2,4.25,2.0,todo,False,"track=produto,repo=guardiao-familia-backoffice,epic=E-P12",
T-P12-008,Moderação mínima tickets SOS,frontend-web,,produto,guardiao-familia-backoffice,E-P12,11,102,2,4.25,2.0,todo,False,"track=produto,repo=guardiao-familia-backoffice,epic=E-P12",
T-I06-004,Rollback procedure documentado,cloud-infra,,infraestrutura,guardiao-familia-api,E-I06,12,103,5,3.9,2.2,todo,False,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I06",
T-I06-005,Load test staging 1k famílias,qa,backend,infraestrutura,guardiao-familia-api,E-I06,12,104,5,3.9,2.2,todo,False,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I06",
T-I03-002,Metrics custom SOS latency,devops-cicd,,infraestrutura,guardiao-familia-api,E-I03,3,105,3,3.47,2.33,todo,False,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I03",T-I03-001
T-I03-004,Alertas PagerDuty/on-call,devops-cicd,,infraestrutura,guardiao-familia-api,E-I03,3,106,3,3.47,2.33,todo,False,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I03",
T-I03-005,Tracing OpenTelemetry API,devops-cicd,,infraestrutura,guardiao-familia-api,E-I03,3,107,3,3.47,2.33,todo,False,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I03",
T-I03-006,SLO error rate API 99.5%,devops-cicd,,infraestrutura,guardiao-familia-api,E-I03,3,108,3,3.47,2.33,todo,False,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I03",
T-P11-004,Atualizar RIPD com SOS áudio,backend,,produto,guardiao-familia-api,E-P11,8,109,5,3.6,2.0,todo,False,"track=produto,repo=guardiao-familia-api,epic=E-P11",
T-P11-005,Atualizar ROPA localização contínua,backend,,produto,guardiao-familia-api,E-P11,8,110,5,3.6,2.0,todo,False,"track=produto,repo=guardiao-familia-api,epic=E-P11",
T-P11-006,Incident response drill Q3,backend,,produto,guardiao-familia-api,E-P11,8,111,5,3.6,2.0,todo,False,"track=produto,repo=guardiao-familia-api,epic=E-P11",
T-I05-001,WAF ALB rules OWASP,cloud-infra,,infraestrutura,guardiao-familia-api,E-I05,4,112,5,3.24,1.8,todo,False,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I05",
T-I05-002,Rotate secrets quarterly,cloud-infra,,infraestrutura,guardiao-familia-api,E-I05,4,113,5,3.24,1.8,todo,False,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I05",
T-I05-003,IAM least privilege ECS tasks,cloud-infra,,infraestrutura,guardiao-familia-api,E-I05,4,114,5,3.24,1.8,todo,False,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I05",
T-I07-001,Infra: NAT Gateway HA cost review,cloud-infra,,infraestrutura,guardiao-familia-api,E-I01,1,115,3,2.8,2.0,todo,False,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I01",
T-I07-002,Infra: Fargate Spot mix staging,cloud-infra,,infraestrutura,guardiao-familia-api,E-I01,1,116,3,2.8,2.0,todo,False,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I01",
T-I07-003,Infra: OIDC GitHub Actions AWS role,devops-cicd,,infraestrutura,guardiao-familia-api,E-I02,2,117,3,2.8,2.0,todo,False,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I02",
T-I07-004,Infra: Branch protection rules 6 repos,devops-cicd,,infraestrutura,guardiao-familia-api,E-I02,2,118,3,2.8,2.0,todo,False,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I02",
T-I07-005,Infra: Log retention 90d compliance,devops-cicd,,infraestrutura,guardiao-familia-api,E-I03,3,119,3,2.8,2.0,todo,False,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I03",
T-I07-006,Infra: Connection pool tuning API,database,cloud-infra,infraestrutura,guardiao-familia-api,E-I04,2,120,3,2.8,2.0,todo,False,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I04",
T-I07-007,Infra: Security group least ingress,cloud-infra,,infraestrutura,guardiao-familia-api,E-I05,4,121,3,2.8,2.0,todo,False,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I05",
T-I07-008,Infra: Blue/green deploy ECS eval,cloud-infra,,infraestrutura,guardiao-familia-api,E-I06,12,122,3,2.8,2.0,todo,False,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I06",
T-P10-007,SOS button acessível,frontend-mobile,,produto,guardiao-familia-child,E-P10,9,123,2,5.95,2.5,partial,False,"track=produto,repo=guardiao-familia-child,epic=E-P10",
T-P10-009,Tutorial primeiro uso child,frontend-mobile,,produto,guardiao-familia-child,E-P10,9,124,2,5.95,2.5,partial,False,"track=produto,repo=guardiao-familia-child,epic=E-P10",
T-P01-001,Revisar fluxo login parent refresh token persistente,backend,,produto,guardiao-familia-api,E-P01,2,125,3,4.8,2.0,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P01",
T-P01-002,Revisar fluxo login child remember device,backend,,produto,guardiao-familia-api,E-P01,2,126,3,4.8,2.0,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P01",
T-P01-005,Documentar política supersession device,backend,,produto,guardiao-familia-api,E-P01,2,127,3,4.8,2.0,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P01",
T-P01-008,Fluxo recuperação conta responsável,backend,,produto,guardiao-familia-api,E-P01,2,128,3,4.8,2.0,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P01",
T-P01-009,Validar onboarding profile API + parent,backend,,produto,guardiao-familia-api,E-P01,2,129,3,4.8,2.0,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P01",
T-P14-001,API notifications: push token register/unregister,backend,,produto,guardiao-familia-api,E-P05,6,130,2,4.8,2.0,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P05",
T-P14-002,API realtime: websocket gateway reconnect policy,backend,,produto,guardiao-familia-api,E-P02,6,131,2,4.8,2.0,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P02",
T-P14-003,API escalation: SOS escalation timer config,backend,,produto,guardiao-familia-api,E-P04,6,132,2,4.8,2.0,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P04",
T-P14-007,API payments: Stripe webhook idempotency audit,backend,,produto,guardiao-familia-api,E-P06,6,133,2,4.8,2.0,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P06",
T-P14-009,API analytics: event schema child location,database,cloud-infra,infraestrutura,guardiao-familia-api,E-I03,6,134,2,4.8,2.0,partial,False,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I03",
T-P14-011,API monitoring: health check deep dependencies,devops-cicd,,infraestrutura,guardiao-familia-api,E-I03,6,135,2,4.8,2.0,partial,False,"track=infraestrutura,repo=guardiao-familia-api,epic=E-I03",
T-P14-012,API email: template SOS parent notification,backend,,produto,guardiao-familia-api,E-P04,6,136,2,4.8,2.0,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P04",
T-P14-015,API tutorials: parent onboarding tutorial fetch,backend,,produto,guardiao-familia-api,E-P09,6,137,2,4.8,2.0,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P09",
T-P14-016,API client-config: remote config parent minimum version,backend,,produto,guardiao-familia-api,E-P09,6,138,2,4.8,2.0,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P09",
T-P14-019,API admin: admin audit actions log,backend,,produto,guardiao-familia-api,E-P02,6,139,2,4.8,2.0,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P02",
T-P14-020,API cache: Redis cache invalidation pairing,database,backend,produto,guardiao-familia-api,E-P02,6,140,2,4.8,2.0,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P02",
T-P14-023,API children: child profile avatar presign,backend,,produto,guardiao-familia-api,E-P01,6,141,2,4.8,2.0,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P01",
T-P14-024,API pairing: QR code expiry policy,backend,,produto,guardiao-familia-api,E-P01,6,142,2,4.8,2.0,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P01",
T-P14-025,API families: multi-guardian permission matrix,backend,,produto,guardiao-familia-api,E-P08,6,143,2,4.8,2.0,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P08",
T-P14-028,API referral: referral reward fulfillment,backend,,produto,guardiao-familia-api,E-P08,6,144,2,4.8,2.0,partial,False,"track=produto,repo=guardiao-familia-api,epic=E-P08",
