id,title,epic_id,epic_name,track,repo,okr,sprint,reach,impact,confidence,effort_sp,cod,pert_o,pert_m,pert_p,status_baseline,commit_evidence,labels,rice,wsjf,pert_expected,priority_rank,release_blocker
T-P04-008,Backoffice visualizar áudio SOS,E-P04,SOS e emergência,produto,guardiao-familia-api,O1,5,10,3,0.75,5,12,1,2.5,5,partial,b870fd6,,4.5,2.4,2.67,45,False
T-P03-002,Melhorar delivery alerta geofence push,E-P03,Geofences e alertas,produto,guardiao-familia-api,O1,6,9,3,0.8,5,10,1,2,4,partial,18d2dbf,,4.32,2.0,2.17,46,False
T-P03-003,Parent UI criar/editar cerca circular,E-P03,Geofences e alertas,produto,guardiao-familia-api,O1,6,9,3,0.8,5,10,1,2,4,partial,,,4.32,2.0,2.17,47,False
T-S01-001,App Store Connect metadata parent PT,E-S01,Apple App Store parent,stores,guardiao-familia-parent,O2,11,10,3,0.7,3,11,0.5,1.5,3,partial,,,7.0,3.67,1.58,48,False
T-S01-003,Privacy nutrition labels parent,E-S01,Apple App Store parent,stores,guardiao-familia-parent,O2,11,10,3,0.7,3,11,0.5,1.5,3,partial,,,7.0,3.67,1.58,49,False
T-S01-004,TestFlight external beta 50 users,E-S01,Apple App Store parent,stores,guardiao-familia-parent,O2,11,10,3,0.7,3,11,0.5,1.5,3,partial,c1bb681,,7.0,3.67,1.58,50,False
T-S02-001,Metadata child PT minors,E-S02,Apple App Store child,stores,guardiao-familia-child,O2,11,10,3,0.7,3,11,0.5,1.5,3,partial,,,7.0,3.67,1.58,51,False
T-S02-003,Parental gate App Store,E-S02,Apple App Store child,stores,guardiao-familia-child,O2,11,10,3,0.7,3,11,0.5,1.5,3,partial,f26520e,,7.0,3.67,1.58,52,False
T-S02-004,TestFlight child beta,E-S02,Apple App Store child,stores,guardiao-familia-child,O2,11,10,3,0.7,3,11,0.5,1.5,3,partial,badaa4e,,7.0,3.67,1.58,53,False
T-I02-001,Pipeline API build test deploy,E-I02,CI/CD multi-repo,infraestrutura,guardiao-familia-api,O2,2,9,2.5,0.8,3,8,0.5,1.5,3,partial,5821a0a,,6.0,2.67,1.58,54,False
T-I02-006,EAS build child production,E-I02,CI/CD multi-repo,infraestrutura,guardiao-familia-api,O2,2,9,2.5,0.8,3,8,0.5,1.5,3,partial,d787da9,,6.0,2.67,1.58,55,False
T-I02-008,Dependabot todos repos,E-I02,CI/CD multi-repo,infraestrutura,guardiao-familia-api,O2,2,9,2.5,0.8,3,8,0.5,1.5,3,partial,,,6.0,2.67,1.58,56,False
T-I02-009,Template PR org-wide,E-I02,CI/CD multi-repo,infraestrutura,guardiao-familia-api,O2,2,9,2.5,0.8,3,8,0.5,1.5,3,partial,9f3a1c3,,6.0,2.67,1.58,57,False
T-P02-011,Documentar SLA ping P95,E-P02,Localização e rotas Mapbox,produto,guardiao-familia-api,O1,4,10,3,0.85,3,9,0.5,1.5,3,todo,,,8.5,3.0,1.58,58,False
T-P14-031,API compliance: data export job async worker,E-P11,LGPD e compliance produto,produto,guardiao-familia-api,O2,8,6,2,0.8,2,4,0.25,0.75,2,partial,4c0102b,,4.8,2.0,0.88,59,False
T-P14-032,API compliance: account deletion cascade order,E-P11,LGPD e compliance produto,produto,guardiao-familia-api,O2,8,6,2,0.8,2,4,0.25,0.75,2,partial,4c0102b,,4.8,2.0,0.88,60,False
T-P05-008,Testes push geofence som customizado,E-P05,Push notifications nativas,produto,guardiao-familia-parent,O1,3,10,3,0.7,3,11,0.5,1.5,3,todo,,,7.0,3.67,1.58,61,False
T-P05-010,Documentar matriz som x evento,E-P05,Push notifications nativas,produto,guardiao-familia-parent,O1,3,10,3,0.7,3,11,0.5,1.5,3,todo,,,7.0,3.67,1.58,62,False
T-P12-007,Alertas erro API no dashboard,E-P12,Backoffice operacional release,produto,guardiao-familia-backoffice,O2,11,5,2,0.85,2,4,0.5,1,2,partial,,,4.25,2.0,1.08,63,False
T-I06-001,Staging mirror prod config,E-I06,Ambientes staging e produção,infraestrutura,guardiao-familia-api,O2,12,10,3,0.65,5,11,1,3,5,partial,,,3.9,2.2,3.0,64,False
T-I06-003,Feature flags system-config,E-I06,Ambientes staging e produção,infraestrutura,guardiao-familia-api,O2,12,10,3,0.65,5,11,1,3,5,partial,,,3.9,2.2,3.0,65,False
T-I03-001,CloudWatch logs structured API,E-I03,Observabilidade e alertas,infraestrutura,guardiao-familia-api,O2,3,8,2,0.65,3,7,1,2,4,partial,,,3.47,2.33,2.17,66,False
T-I03-003,Dashboard Grafana/BO integrado,E-I03,Observabilidade e alertas,infraestrutura,guardiao-familia-api,O2,3,8,2,0.65,3,7,1,2,4,partial,bf172e8,,3.47,2.33,2.17,67,False
T-P11-001,Fluxos exportação dados titular,E-P11,LGPD e compliance produto,produto,guardiao-familia-api,O2,8,8,3,0.75,5,10,1,2,4,partial,4c0102b,,3.6,2.0,2.17,68,False
T-P11-002,Fluxos exclusão conta menor,E-P11,LGPD e compliance produto,produto,guardiao-familia-api,O2,8,8,3,0.75,5,10,1,2,4,partial,4c0102b,,3.6,2.0,2.17,69,False
T-P11-003,Consentimento parental registrado,E-P11,LGPD e compliance produto,produto,guardiao-familia-api,O2,8,8,3,0.75,5,10,1,2,4,partial,,,3.6,2.0,2.17,70,False
T-P11-007,Parent UI privacy settings,E-P11,LGPD e compliance produto,produto,guardiao-familia-api,O2,8,8,3,0.75,5,10,1,2,4,partial,,,3.6,2.0,2.17,71,False
T-P11-008,Child UI privacy mínima,E-P11,LGPD e compliance produto,produto,guardiao-familia-api,O2,8,8,3,0.75,5,10,1,2,4,partial,,,3.6,2.0,2.17,72,False
T-P11-010,Audit log acesso dados sensíveis,E-P11,LGPD e compliance produto,produto,guardiao-familia-api,O2,8,8,3,0.75,5,10,1,2,4,partial,,,3.6,2.0,2.17,73,False
T-I05-004,S3 bucket policies SOS audio,E-I05,"Segurança, secrets e WAF",infraestrutura,guardiao-familia-api,O2,4,9,3,0.6,5,9,1,3,6,partial,,,3.24,1.8,3.17,74,False
T-P04-009,Testes E2E SOS com mock push,E-P04,SOS e emergência,produto,guardiao-familia-api,O1,5,10,3,0.75,5,12,1,2.5,5,todo,,,4.5,2.4,2.67,75,False
T-P04-010,Runbook operacional incidente SOS,E-P04,SOS e emergência,produto,guardiao-familia-api,O1,5,10,3,0.75,5,12,1,2.5,5,todo,,,4.5,2.4,2.67,76,False
T-P03-004,Parent UI criar/editar cerca poligonal,E-P03,Geofences e alertas,produto,guardiao-familia-api,O1,6,9,3,0.8,5,10,1,2,4,todo,,,4.32,2.0,2.17,77,False
T-P03-007,Testes carga geofence 100 cercas/família,E-P03,Geofences e alertas,produto,guardiao-familia-api,O1,6,9,3,0.8,5,10,1,2,4,todo,,,4.32,2.0,2.17,78,False
T-S01-002,Screenshots 6.7 e 5.5 parent,E-S01,Apple App Store parent,stores,guardiao-familia-parent,O2,11,10,3,0.7,3,11,0.5,1.5,3,todo,,,7.0,3.67,1.58,79,False
T-S02-002,Screenshots child,E-S02,Apple App Store child,stores,guardiao-familia-child,O2,11,10,3,0.7,3,11,0.5,1.5,3,todo,,,7.0,3.67,1.58,80,False
T-S06-001,Apple: export compliance encryption doc,E-S01,Apple App Store parent,stores,guardiao-familia-parent,O2,11,8,2.5,0.65,2,8,0.25,0.75,2,todo,,,6.5,4.0,0.88,81,False
T-S06-002,Apple: age rating 4+ questionnaire,E-S01,Apple App Store parent,stores,guardiao-familia-parent,O2,11,8,2.5,0.65,2,8,0.25,0.75,2,todo,,,6.5,4.0,0.88,82,False
T-S06-003,Apple child: COPPA parental consent copy,E-S02,Apple App Store child,stores,guardiao-familia-parent,O2,11,8,2.5,0.65,2,8,0.25,0.75,2,todo,,,6.5,4.0,0.88,83,False
T-S06-004,Google: target API level 34 parent,E-S03,Google Play parent,stores,guardiao-familia-parent,O2,12,8,2.5,0.65,2,8,0.25,0.75,2,todo,,,6.5,4.0,0.88,84,False
T-S06-005,Google: target API level 34 child,E-S04,Google Play child,stores,guardiao-familia-child,O2,12,8,2.5,0.65,2,8,0.25,0.75,2,todo,,,6.5,4.0,0.88,85,False
T-S06-006,Google: in-app permissions declaration,E-S03,Google Play parent,stores,guardiao-familia-parent,O2,12,8,2.5,0.65,2,8,0.25,0.75,2,todo,,,6.5,4.0,0.88,86,False
T-S06-007,Google: designed for families program,E-S04,Google Play child,stores,guardiao-familia-child,O2,12,8,2.5,0.65,2,8,0.25,0.75,2,todo,,,6.5,4.0,0.88,87,False
T-S03-001,Play Console listing parent,E-S03,Google Play parent,stores,guardiao-familia-parent,O2,12,10,3,0.65,3,10,0.5,2,4,todo,,,6.5,3.33,2.08,88,False
T-S03-002,Data safety form parent,E-S03,Google Play parent,stores,guardiao-familia-parent,O2,12,10,3,0.65,3,10,0.5,2,4,todo,,,6.5,3.33,2.08,89,False
T-S03-003,Content rating questionnaire,E-S03,Google Play parent,stores,guardiao-familia-parent,O2,12,10,3,0.65,3,10,0.5,2,4,todo,,,6.5,3.33,2.08,90,False
T-S03-004,Internal testing track parent,E-S03,Google Play parent,stores,guardiao-familia-parent,O2,12,10,3,0.65,3,10,0.5,2,4,todo,,,6.5,3.33,2.08,91,False
T-S04-001,Play listing child designed for families,E-S04,Google Play child,stores,guardiao-familia-child,O2,12,10,3,0.65,3,10,0.5,2,4,todo,,,6.5,3.33,2.08,92,False
T-S04-002,Data safety child location,E-S04,Google Play child,stores,guardiao-familia-child,O2,12,10,3,0.65,3,10,0.5,2,4,todo,,,6.5,3.33,2.08,93,False
T-S04-004,Internal testing child,E-S04,Google Play child,stores,guardiao-familia-child,O2,12,10,3,0.65,3,10,0.5,2,4,todo,,,6.5,3.33,2.08,94,False
T-I02-010,Smoke test pós-deploy API,E-I02,CI/CD multi-repo,infraestrutura,guardiao-familia-api,O2,2,9,2.5,0.8,3,8,0.5,1.5,3,todo,,,6.0,2.67,1.58,95,False
T-S05-002,Beta fechado 100 famílias,E-S05,Coordenação release e beta,stores,guardiao-familia-api,O2,13,10,3,0.7,5,12,1,2,4,todo,,,4.2,2.4,2.17,96,False
T-S05-003,Beta aberto child polish gate,E-S05,Coordenação release e beta,stores,guardiao-familia-api,O2,13,10,3,0.7,5,12,1,2,4,todo,,,4.2,2.4,2.17,97,False
T-S05-004,Comunicado lançamento site+campanha,E-S05,Coordenação release e beta,stores,guardiao-familia-api,O2,13,10,3,0.7,5,12,1,2,4,todo,,,4.2,2.4,2.17,98,False
T-S05-005,Monitoramento 72h pós-release,E-S05,Coordenação release e beta,stores,guardiao-familia-api,O2,13,10,3,0.7,5,12,1,2,4,todo,,,4.2,2.4,2.17,99,False
T-S05-006,Retrospectiva e backlog v2,E-S05,Coordenação release e beta,stores,guardiao-familia-api,O2,13,10,3,0.7,5,12,1,2,4,todo,,,4.2,2.4,2.17,100,False
T-P12-006,Runbook suporte release,E-P12,Backoffice operacional release,produto,guardiao-familia-backoffice,O2,11,5,2,0.85,2,4,0.5,1,2,todo,,,4.25,2.0,1.08,101,False
T-P12-008,Moderação mínima tickets SOS,E-P12,Backoffice operacional release,produto,guardiao-familia-backoffice,O2,11,5,2,0.85,2,4,0.5,1,2,todo,,,4.25,2.0,1.08,102,False
T-I06-004,Rollback procedure documentado,E-I06,Ambientes staging e produção,infraestrutura,guardiao-familia-api,O2,12,10,3,0.65,5,11,1,3,5,todo,,,3.9,2.2,3.0,103,False
T-I06-005,Load test staging 1k famílias,E-I06,Ambientes staging e produção,infraestrutura,guardiao-familia-api,O2,12,10,3,0.65,5,11,1,3,5,todo,,,3.9,2.2,3.0,104,False
T-I03-002,Metrics custom SOS latency,E-I03,Observabilidade e alertas,infraestrutura,guardiao-familia-api,O2,3,8,2,0.65,3,7,1,2,4,todo,,,3.47,2.33,2.17,105,False
T-I03-004,Alertas PagerDuty/on-call,E-I03,Observabilidade e alertas,infraestrutura,guardiao-familia-api,O2,3,8,2,0.65,3,7,1,2,4,todo,,,3.47,2.33,2.17,106,False
T-I03-005,Tracing OpenTelemetry API,E-I03,Observabilidade e alertas,infraestrutura,guardiao-familia-api,O2,3,8,2,0.65,3,7,1,2,4,todo,,,3.47,2.33,2.17,107,False
T-I03-006,SLO error rate API 99.5%,E-I03,Observabilidade e alertas,infraestrutura,guardiao-familia-api,O2,3,8,2,0.65,3,7,1,2,4,todo,,,3.47,2.33,2.17,108,False
T-P11-004,Atualizar RIPD com SOS áudio,E-P11,LGPD e compliance produto,produto,guardiao-familia-api,O2,8,8,3,0.75,5,10,1,2,4,todo,,,3.6,2.0,2.17,109,False
T-P11-005,Atualizar ROPA localização contínua,E-P11,LGPD e compliance produto,produto,guardiao-familia-api,O2,8,8,3,0.75,5,10,1,2,4,todo,,,3.6,2.0,2.17,110,False
T-P11-006,Incident response drill Q3,E-P11,LGPD e compliance produto,produto,guardiao-familia-api,O2,8,8,3,0.75,5,10,1,2,4,todo,,,3.6,2.0,2.17,111,False
T-I05-001,WAF ALB rules OWASP,E-I05,"Segurança, secrets e WAF",infraestrutura,guardiao-familia-api,O2,4,9,3,0.6,5,9,1,3,6,todo,,,3.24,1.8,3.17,112,False
T-I05-002,Rotate secrets quarterly,E-I05,"Segurança, secrets e WAF",infraestrutura,guardiao-familia-api,O2,4,9,3,0.6,5,9,1,3,6,todo,,,3.24,1.8,3.17,113,False
T-I05-003,IAM least privilege ECS tasks,E-I05,"Segurança, secrets e WAF",infraestrutura,guardiao-familia-api,O2,4,9,3,0.6,5,9,1,3,6,todo,,,3.24,1.8,3.17,114,False
T-I07-001,Infra: NAT Gateway HA cost review,E-I01,AWS ECS Fargate foundation,infraestrutura,guardiao-familia-api,O2,1,7,2,0.6,3,6,0.5,1.5,3,todo,,,2.8,2.0,1.58,115,False
T-I07-002,Infra: Fargate Spot mix staging,E-I01,AWS ECS Fargate foundation,infraestrutura,guardiao-familia-api,O2,1,7,2,0.6,3,6,0.5,1.5,3,todo,,,2.8,2.0,1.58,116,False
T-I07-003,Infra: OIDC GitHub Actions AWS role,E-I02,CI/CD multi-repo,infraestrutura,guardiao-familia-api,O2,2,7,2,0.6,3,6,0.5,1.5,3,todo,,,2.8,2.0,1.58,117,False
T-I07-004,Infra: Branch protection rules 6 repos,E-I02,CI/CD multi-repo,infraestrutura,guardiao-familia-api,O2,2,7,2,0.6,3,6,0.5,1.5,3,todo,,,2.8,2.0,1.58,118,False
T-I07-005,Infra: Log retention 90d compliance,E-I03,Observabilidade e alertas,infraestrutura,guardiao-familia-api,O2,3,7,2,0.6,3,6,0.5,1.5,3,todo,,,2.8,2.0,1.58,119,False
T-I07-006,Infra: Connection pool tuning API,E-I04,"PostgreSQL, Redis e migrations",infraestrutura,guardiao-familia-api,O2,2,7,2,0.6,3,6,0.5,1.5,3,todo,,,2.8,2.0,1.58,120,False
T-I07-007,Infra: Security group least ingress,E-I05,"Segurança, secrets e WAF",infraestrutura,guardiao-familia-api,O2,4,7,2,0.6,3,6,0.5,1.5,3,todo,,,2.8,2.0,1.58,121,False
T-I07-008,Infra: Blue/green deploy ECS eval,E-I06,Ambientes staging e produção,infraestrutura,guardiao-familia-api,O2,12,7,2,0.6,3,6,0.5,1.5,3,todo,,,2.8,2.0,1.58,122,False
T-P10-007,SOS button acessível,E-P10,App child — UX e estabilidade,produto,guardiao-familia-child,O3,9,7,2,0.85,2,5,0.5,1,2,partial,,,5.95,2.5,1.08,123,False
T-P10-009,Tutorial primeiro uso child,E-P10,App child — UX e estabilidade,produto,guardiao-familia-child,O3,9,7,2,0.85,2,5,0.5,1,2,partial,,,5.95,2.5,1.08,124,False
T-P01-001,Revisar fluxo login parent refresh token persistente,E-P01,"Auth, sessão e pareamento",produto,guardiao-familia-api,O3,2,8,2,0.9,3,6,0.5,1,2,partial,b535706,,4.8,2.0,1.08,125,False
T-P01-002,Revisar fluxo login child remember device,E-P01,"Auth, sessão e pareamento",produto,guardiao-familia-api,O3,2,8,2,0.9,3,6,0.5,1,2,partial,26c519e,,4.8,2.0,1.08,126,False
T-P01-005,Documentar política supersession device,E-P01,"Auth, sessão e pareamento",produto,guardiao-familia-api,O3,2,8,2,0.9,3,6,0.5,1,2,partial,f39c9c6,,4.8,2.0,1.08,127,False
T-P01-008,Fluxo recuperação conta responsável,E-P01,"Auth, sessão e pareamento",produto,guardiao-familia-api,O3,2,8,2,0.9,3,6,0.5,1,2,partial,,,4.8,2.0,1.08,128,False
T-P01-009,Validar onboarding profile API + parent,E-P01,"Auth, sessão e pareamento",produto,guardiao-familia-api,O3,2,8,2,0.9,3,6,0.5,1,2,partial,,,4.8,2.0,1.08,129,False
T-P14-001,API notifications: push token register/unregister,E-P05,Push notifications nativas,produto,guardiao-familia-api,O3,6,6,2,0.8,2,4,0.25,0.75,2,partial,,,4.8,2.0,0.88,130,False
T-P14-002,API realtime: websocket gateway reconnect policy,E-P02,Localização e rotas Mapbox,produto,guardiao-familia-api,O3,6,6,2,0.8,2,4,0.25,0.75,2,partial,,,4.8,2.0,0.88,131,False
T-P14-003,API escalation: SOS escalation timer config,E-P04,SOS e emergência,produto,guardiao-familia-api,O3,6,6,2,0.8,2,4,0.25,0.75,2,partial,,,4.8,2.0,0.88,132,False
T-P14-007,API payments: Stripe webhook idempotency audit,E-P06,Tempo de tela e pedido extra,produto,guardiao-familia-api,O3,6,6,2,0.8,2,4,0.25,0.75,2,partial,,,4.8,2.0,0.88,133,False
T-P14-009,API analytics: event schema child location,E-I03,Observabilidade e alertas,infraestrutura,guardiao-familia-api,O3,6,6,2,0.8,2,4,0.25,0.75,2,partial,,,4.8,2.0,0.88,134,False
T-P14-011,API monitoring: health check deep dependencies,E-I03,Observabilidade e alertas,infraestrutura,guardiao-familia-api,O3,6,6,2,0.8,2,4,0.25,0.75,2,partial,,,4.8,2.0,0.88,135,False
T-P14-012,API email: template SOS parent notification,E-P04,SOS e emergência,produto,guardiao-familia-api,O3,6,6,2,0.8,2,4,0.25,0.75,2,partial,,,4.8,2.0,0.88,136,False
T-P14-015,API tutorials: parent onboarding tutorial fetch,E-P09,"App parent — mapa, relatórios, IA",produto,guardiao-familia-api,O3,6,6,2,0.8,2,4,0.25,0.75,2,partial,,,4.8,2.0,0.88,137,False
T-P14-016,API client-config: remote config parent minimum version,E-P09,"App parent — mapa, relatórios, IA",produto,guardiao-familia-api,O3,6,6,2,0.8,2,4,0.25,0.75,2,partial,,,4.8,2.0,0.88,138,False
T-P14-019,API admin: admin audit actions log,E-P02,Localização e rotas Mapbox,produto,guardiao-familia-api,O3,6,6,2,0.8,2,4,0.25,0.75,2,partial,,,4.8,2.0,0.88,139,False
T-P14-020,API cache: Redis cache invalidation pairing,E-P02,Localização e rotas Mapbox,produto,guardiao-familia-api,O3,6,6,2,0.8,2,4,0.25,0.75,2,partial,,,4.8,2.0,0.88,140,False
T-P14-023,API children: child profile avatar presign,E-P01,"Auth, sessão e pareamento",produto,guardiao-familia-api,O3,6,6,2,0.8,2,4,0.25,0.75,2,partial,,,4.8,2.0,0.88,141,False
