task_id,title,reach,impact,confidence,effort_sp,rice_score
T-P02-010,Testes integração ping batch location,10,3,0.85,3,8.5
T-P02-012,Fallback quando GPS desligado child,10,3,0.85,3,8.5
T-P05-005,Configurar APNs production certificates,10,3,0.7,3,7.0
T-P05-006,Configurar FCM data messages SOS,10,3,0.7,3,7.0
T-P04-003,Parent histórico SOS error handling,10,3,0.75,5,4.5
T-P04-004,Child trigger SOS UI discreto,10,3,0.75,5,4.5
T-P04-007,Escalation rules SOS sem ack,10,3,0.75,5,4.5
T-P04-008,Backoffice visualizar áudio SOS,10,3,0.75,5,4.5
T-P03-002,Melhorar delivery alerta geofence push,9,3,0.8,5,4.32
T-P03-003,Parent UI criar/editar cerca circular,9,3,0.8,5,4.32
T-S01-001,App Store Connect metadata parent PT,10,3,0.7,3,7.0
T-S01-003,Privacy nutrition labels parent,10,3,0.7,3,7.0
T-S01-004,TestFlight external beta 50 users,10,3,0.7,3,7.0
T-S02-001,Metadata child PT minors,10,3,0.7,3,7.0
T-S02-003,Parental gate App Store,10,3,0.7,3,7.0
T-S02-004,TestFlight child beta,10,3,0.7,3,7.0
T-I02-001,Pipeline API build test deploy,9,2.5,0.8,3,6.0
T-I02-006,EAS build child production,9,2.5,0.8,3,6.0
T-I02-008,Dependabot todos repos,9,2.5,0.8,3,6.0
T-I02-009,Template PR org-wide,9,2.5,0.8,3,6.0
T-P02-011,Documentar SLA ping P95,10,3,0.85,3,8.5
T-P14-031,API compliance: data export job async worker,6,2,0.8,2,4.8
T-P14-032,API compliance: account deletion cascade order,6,2,0.8,2,4.8
T-P05-008,Testes push geofence som customizado,10,3,0.7,3,7.0
T-P05-010,Documentar matriz som x evento,10,3,0.7,3,7.0
T-P12-007,Alertas erro API no dashboard,5,2,0.85,2,4.25
T-I06-001,Staging mirror prod config,10,3,0.65,5,3.9
T-I06-003,Feature flags system-config,10,3,0.65,5,3.9
T-I03-001,CloudWatch logs structured API,8,2,0.65,3,3.47
T-I03-003,Dashboard Grafana/BO integrado,8,2,0.65,3,3.47
T-P11-001,Fluxos exportação dados titular,8,3,0.75,5,3.6
T-P11-002,Fluxos exclusão conta menor,8,3,0.75,5,3.6
T-P11-003,Consentimento parental registrado,8,3,0.75,5,3.6
T-P11-007,Parent UI privacy settings,8,3,0.75,5,3.6
T-P11-008,Child UI privacy mínima,8,3,0.75,5,3.6
T-P11-010,Audit log acesso dados sensíveis,8,3,0.75,5,3.6
T-I05-004,S3 bucket policies SOS audio,9,3,0.6,5,3.24
T-P04-009,Testes E2E SOS com mock push,10,3,0.75,5,4.5
T-P04-010,Runbook operacional incidente SOS,10,3,0.75,5,4.5
T-P03-004,Parent UI criar/editar cerca poligonal,9,3,0.8,5,4.32
T-P03-007,Testes carga geofence 100 cercas/família,9,3,0.8,5,4.32
T-S01-002,Screenshots 6.7 e 5.5 parent,10,3,0.7,3,7.0
T-S02-002,Screenshots child,10,3,0.7,3,7.0
T-S06-001,Apple: export compliance encryption doc,8,2.5,0.65,2,6.5
T-S06-002,Apple: age rating 4+ questionnaire,8,2.5,0.65,2,6.5
T-S06-003,Apple child: COPPA parental consent copy,8,2.5,0.65,2,6.5
T-S06-004,Google: target API level 34 parent,8,2.5,0.65,2,6.5
T-S06-005,Google: target API level 34 child,8,2.5,0.65,2,6.5
T-S06-006,Google: in-app permissions declaration,8,2.5,0.65,2,6.5
T-S06-007,Google: designed for families program,8,2.5,0.65,2,6.5
T-S03-001,Play Console listing parent,10,3,0.65,3,6.5
T-S03-002,Data safety form parent,10,3,0.65,3,6.5
T-S03-003,Content rating questionnaire,10,3,0.65,3,6.5
T-S03-004,Internal testing track parent,10,3,0.65,3,6.5
T-S04-001,Play listing child designed for families,10,3,0.65,3,6.5
T-S04-002,Data safety child location,10,3,0.65,3,6.5
T-S04-004,Internal testing child,10,3,0.65,3,6.5
T-I02-010,Smoke test pós-deploy API,9,2.5,0.8,3,6.0
T-S05-002,Beta fechado 100 famílias,10,3,0.7,5,4.2
T-S05-003,Beta aberto child polish gate,10,3,0.7,5,4.2
T-S05-004,Comunicado lançamento site+campanha,10,3,0.7,5,4.2
T-S05-005,Monitoramento 72h pós-release,10,3,0.7,5,4.2
T-S05-006,Retrospectiva e backlog v2,10,3,0.7,5,4.2
T-P12-006,Runbook suporte release,5,2,0.85,2,4.25
T-P12-008,Moderação mínima tickets SOS,5,2,0.85,2,4.25
T-I06-004,Rollback procedure documentado,10,3,0.65,5,3.9
T-I06-005,Load test staging 1k famílias,10,3,0.65,5,3.9
T-I03-002,Metrics custom SOS latency,8,2,0.65,3,3.47
T-I03-004,Alertas PagerDuty/on-call,8,2,0.65,3,3.47
T-I03-005,Tracing OpenTelemetry API,8,2,0.65,3,3.47
T-I03-006,SLO error rate API 99.5%,8,2,0.65,3,3.47
T-P11-004,Atualizar RIPD com SOS áudio,8,3,0.75,5,3.6
T-P11-005,Atualizar ROPA localização contínua,8,3,0.75,5,3.6
T-P11-006,Incident response drill Q3,8,3,0.75,5,3.6
T-I05-001,WAF ALB rules OWASP,9,3,0.6,5,3.24
T-I05-002,Rotate secrets quarterly,9,3,0.6,5,3.24
T-I05-003,IAM least privilege ECS tasks,9,3,0.6,5,3.24
T-I07-001,Infra: NAT Gateway HA cost review,7,2,0.6,3,2.8
T-I07-002,Infra: Fargate Spot mix staging,7,2,0.6,3,2.8
T-I07-003,Infra: OIDC GitHub Actions AWS role,7,2,0.6,3,2.8
T-I07-004,Infra: Branch protection rules 6 repos,7,2,0.6,3,2.8
T-I07-005,Infra: Log retention 90d compliance,7,2,0.6,3,2.8
T-I07-006,Infra: Connection pool tuning API,7,2,0.6,3,2.8
T-I07-007,Infra: Security group least ingress,7,2,0.6,3,2.8
T-I07-008,Infra: Blue/green deploy ECS eval,7,2,0.6,3,2.8
T-P10-007,SOS button acessível,7,2,0.85,2,5.95
T-P10-009,Tutorial primeiro uso child,7,2,0.85,2,5.95
T-P01-001,Revisar fluxo login parent refresh token persistente,8,2,0.9,3,4.8
T-P01-002,Revisar fluxo login child remember device,8,2,0.9,3,4.8
T-P01-005,Documentar política supersession device,8,2,0.9,3,4.8
T-P01-008,Fluxo recuperação conta responsável,8,2,0.9,3,4.8
T-P01-009,Validar onboarding profile API + parent,8,2,0.9,3,4.8
T-P14-001,API notifications: push token register/unregister,6,2,0.8,2,4.8
T-P14-002,API realtime: websocket gateway reconnect policy,6,2,0.8,2,4.8
T-P14-003,API escalation: SOS escalation timer config,6,2,0.8,2,4.8
T-P14-007,API payments: Stripe webhook idempotency audit,6,2,0.8,2,4.8
T-P14-009,API analytics: event schema child location,6,2,0.8,2,4.8
T-P14-011,API monitoring: health check deep dependencies,6,2,0.8,2,4.8
T-P14-012,API email: template SOS parent notification,6,2,0.8,2,4.8
T-P14-015,API tutorials: parent onboarding tutorial fetch,6,2,0.8,2,4.8
T-P14-016,API client-config: remote config parent minimum version,6,2,0.8,2,4.8
T-P14-019,API admin: admin audit actions log,6,2,0.8,2,4.8
T-P14-020,API cache: Redis cache invalidation pairing,6,2,0.8,2,4.8
T-P14-023,API children: child profile avatar presign,6,2,0.8,2,4.8
T-P14-024,API pairing: QR code expiry policy,6,2,0.8,2,4.8
T-P14-025,API families: multi-guardian permission matrix,6,2,0.8,2,4.8
T-P14-028,API referral: referral reward fulfillment,6,2,0.8,2,4.8
T-P14-029,API gamification: badge criteria documentation,6,2,0.8,2,4.8
T-P14-033,API support: support ticket SLA metrics,6,2,0.8,2,4.8
T-P14-036,API system-config: feature toggle geofence v2,6,2,0.8,2,4.8
T-P14-037,API i18n: PT-BR string audit parent,6,2,0.8,2,4.8
T-P14-038,API i18n: PT-BR string audit child,6,2,0.8,2,4.8
T-P14-039,API health: readiness vs liveness split,6,2,0.8,2,4.8
T-P06-003,Parent UI pedido tempo extra,7,2,0.8,3,3.73
T-P06-004,Child UI status tempo de tela,7,2,0.8,3,3.73
T-P06-007,Relatório uso apps child,7,2,0.8,3,3.73
T-P09-003,Assistente IA chat parent MVP,7,2,0.7,3,3.27
T-P09-005,Dashboard home widgets,7,2,0.7,3,3.27
T-P09-008,Localização permissões UX iOS,7,2,0.7,3,3.27
T-P09-009,Localização permissões UX Android,7,2,0.7,3,3.27
T-P08-004,Parent UI gestão família,6,2,0.8,3,3.2
T-P08-005,Parent UI mensagens família,6,2,0.8,3,3.2
T-P07-002,Child UI lista conquistas,5,1.5,0.75,2,2.81
T-P07-004,Tutorial gamificação onboarding,5,1.5,0.75,2,2.81
T-P10-008,Indicador conexão offline,7,2,0.85,2,5.95
T-P10-010,Testes dispositivos Android baixo RAM,7,2,0.85,2,5.95
T-P14-010,API metrics: Prometheus endpoint scrape ECS,6,2,0.65,2,3.9
T-P14-021,API maps: Mapbox token rotation procedure,6,2,0.65,2,3.9
T-P14-026,API family-messages: message read receipt,6,2,0.65,2,3.9
T-P14-027,API family-access: invite link deep link,6,2,0.65,2,3.9
T-P14-030,API community: community feed out-of-scope flag,6,2,0.65,2,3.9
T-P14-034,API support: admin reply push notification,6,2,0.65,2,3.9
T-P01-004,Testes E2E pareamento QR parent-child,8,2,0.7,3,3.73
T-P01-007,Auditar expiração JWT e refresh em todos clients,8,2,0.7,3,3.73
T-P06-005,Notificação push pedido extra,7,2,0.8,3,3.73
T-P06-009,Testes E2E pedido extra aprovado,7,2,0.8,3,3.73
T-P06-010,Testes E2E pedido extra negado,7,2,0.8,3,3.73
T-P06-011,Exibir features ST ocultas parent,7,2,0.8,3,3.73
T-P09-004,Relatórios localização semanal,7,2,0.7,3,3.27
T-P09-006,Deep link push notification,7,2,0.7,3,3.27
T-P09-007,Acessibilidade VoiceOver mapa,7,2,0.7,3,3.27
T-P08-007,Community module backlog only,6,2,0.8,3,3.2
T-P07-003,Animação unlock conquista,5,1.5,0.75,2,2.81
T-P07-005,Testes regressão gamification,5,1.5,0.75,2,2.81
T-P09-013,Parent: Mapbox style tokens produção,5,1.5,0.7,2,2.62
T-P09-014,Parent: Safe area insets iPhone notch,5,1.5,0.7,2,2.62
T-P09-015,Parent: Tablet layout responsivo,5,1.5,0.7,2,2.62
T-P09-016,Parent: Biometria login Face ID,5,1.5,0.7,2,2.62
T-P09-017,Parent: Biometria login fingerprint Android,5,1.5,0.7,2,2.62
T-P09-018,Parent: Share sheet convite família,5,1.5,0.7,2,2.62
T-P09-019,Parent: Push permission prompt timing,5,1.5,0.7,2,2.62
T-P09-020,Parent: Settings toggles notificações por tipo,5,1.5,0.7,2,2.62
T-P09-021,Parent: SOS histórico filtros data,5,1.5,0.7,2,2.62
T-P09-022,Parent: Geofence list empty state UX,5,1.5,0.7,2,2.62
T-P09-023,Parent: Loading skeleton mapa,5,1.5,0.7,2,2.62
T-P09-024,Parent: Error boundary tela mapa,5,1.5,0.7,2,2.62
T-P09-025,Parent: Offline banner sem rede,5,1.5,0.7,2,2.62
T-P09-026,Parent: Analytics screen view mapa,5,1.5,0.7,2,2.62
T-P09-027,Parent: Crash reporting Sentry parent,5,1.5,0.7,2,2.62
T-P10-011,Child: Ícone app adaptive Android,5,1.5,0.7,2,2.62
T-P10-012,Child: Splash screen animada,5,1.5,0.7,2,2.62
T-P10-013,Child: Haptic feedback SOS,5,1.5,0.7,2,2.62
T-P10-014,Child: Low power mode location degrade,5,1.5,0.7,2,2.62
T-P10-015,Child: Permissão câmera QR pairing,5,1.5,0.7,2,2.62
T-P10-016,Child: Feedback visual ping enviado,5,1.5,0.7,2,2.62
T-P10-017,Child: Modo escuro child,5,1.5,0.7,2,2.62
T-P10-018,Child: Font scaling acessibilidade,5,1.5,0.7,2,2.62
T-P10-019,Child: Crash reporting Sentry child,5,1.5,0.7,2,2.62
T-P10-020,Child: Analytics evento SOS triggered,5,1.5,0.7,2,2.62
T-P10-021,Child: Widget SOS Android backlog doc,5,1.5,0.7,2,2.62
T-P10-022,Child: App shortcuts SOS Android,5,1.5,0.7,2,2.62
T-P13-005,SEO meta tags release,4,1.5,0.8,2,2.4
T-P13-006,Página status incidentes,4,1.5,0.8,2,2.4
T-P13-007,Atualizar screenshots apps release,4,1.5,0.8,2,2.4
T-P02-001,Validar Mapbox road-matched routes API,10,3,0.85,3,8.5
T-P02-002,Validar sync offline batch idempotente,10,3,0.85,3,8.5
T-P02-003,Persist tracking mode offline routes,10,3,0.85,3,8.5
T-P02-004,Parent render matched routes no mapa,10,3,0.85,3,8.5
T-P02-005,Child sample quality offline routes,10,3,0.85,3,8.5
T-P02-006,Recovery route quando Mapbox indisponível,10,3,0.85,3,8.5
T-P02-008,Battery policy child location background,10,3,0.85,3,8.5
T-P02-009,Nudge refresh location child,10,3,0.85,3,8.5
T-P05-007,API mapear soundId por tipo alerta,10,3,0.7,3,7.0
T-P04-001,API SOS create/update/attach audio,10,3,0.75,5,4.5
T-P04-002,Presign upload áudio SOS S3,10,3,0.75,5,4.5
T-P03-001,Avaliar geofence em batch pings API,9,3,0.8,5,4.32
T-P03-008,Documentar regras tolerância stale ping,9,3,0.8,5,4.32
T-S04-003,Validate GP submit secret CI,10,3,0.65,3,6.5
T-I02-002,Gate deploy por branch main,9,2.5,0.8,3,6.0
T-I02-003,Automate cache purge Cloudflare,9,2.5,0.8,3,6.0
T-I02-004,EAS update workflow parent,9,2.5,0.8,3,6.0
T-I02-005,EAS submit iOS parent,9,2.5,0.8,3,6.0
T-I02-007,Backoffice SSM deploy sa-east-1,9,2.5,0.8,3,6.0
T-P12-001,Live support board produção,5,2,0.85,2,4.25
T-P12-002,Support audio playback,5,2,0.85,2,4.25
T-P12-003,Cloudflare analytics dashboard,5,2,0.85,2,4.25
T-P12-004,Role-based menu sidebar,5,2,0.85,2,4.25
T-P12-005,Leads listing overview,5,2,0.85,2,4.25
T-P10-001,Pairing help simplificado,7,2,0.85,2,5.95
T-P10-002,App name PT-BR copy,7,2,0.85,2,5.95
T-P10-003,Privacy compliance App Store,7,2,0.85,2,5.95
T-P10-004,Background location hardening,7,2,0.85,2,5.95
T-P10-005,Invalid session reset,7,2,0.85,2,5.95
T-P10-006,Release 2.0.0 estabilização,7,2,0.85,2,5.95
T-P01-003,Validar revogação sessão child ao desvincular,8,2,0.9,3,4.8
T-P01-006,Hardening rate-limit auth 429 falsos positivos,8,2,0.9,3,4.8
T-P01-010,Checklist segurança pareamento child sem guardian,8,2,0.9,3,4.8
T-P14-004,API chatbot: site chatbot intent routing,6,2,0.8,2,4.8
T-P14-005,API ai: support classifier rollout,6,2,0.8,2,4.8
T-P14-006,API ai: disable placeholder provider default,6,2,0.8,2,4.8
T-P14-008,API payments: paywall feature flag off prod,6,2,0.8,2,4.8
T-P14-013,API email: template extra-time request,6,2,0.8,2,4.8
T-P14-014,API content: tutorial CMS API CRUD,6,2,0.8,2,4.8
T-P14-017,API pre-launch: waitlist lead capture API,6,2,0.8,2,4.8
T-P14-018,API accounting: CPC fiscal endpoints BO,6,2,0.8,2,4.8
T-P14-022,API devices: device supersession integration test,6,2,0.8,2,4.8
T-P14-035,API storage: SOS audio MIME validation,6,2,0.8,2,4.8
T-P09-001,Mapa rotas matched estabilidade,7,2,0.85,3,3.97
T-P09-002,Offline route refresh seguro,7,2,0.85,3,3.97
T-P09-010,Remover URL plan config stale,7,2,0.85,3,3.97
T-P09-011,Jest release checks estáveis,7,2,0.85,3,3.97
T-P09-012,Paywall permanece desabilitado release,7,2,0.85,3,3.97
T-P06-001,API regras tempo de tela CRUD,7,2,0.8,3,3.73
T-P06-002,API pedido tempo extra create/decide,7,2,0.8,3,3.73
T-P06-006,E-mail notificação pedido extra,7,2,0.8,3,3.73
T-P06-008,Política extra-time applies date,7,2,0.8,3,3.73
T-P08-001,API family members CRUD,6,2,0.8,3,3.2
T-P08-002,API family messages,6,2,0.8,3,3.2
T-P08-003,API family access invites,6,2,0.8,3,3.2
T-P08-006,Referral rewards API,6,2,0.8,3,3.2
T-P07-001,API conquistas e pontos child,5,1.5,0.75,2,2.81
T-P13-001,CNPJ páginas legais,4,1.5,0.8,2,2.4
T-P13-002,Chatbot widget site,4,1.5,0.8,2,2.4
T-P13-003,Links download pré-lançamento,4,1.5,0.8,2,2.4
T-P13-004,Campanha 30 dias estrutura,4,1.5,0.8,2,2.4
