item_id,title,url,repo,number,onda,epic,okr,sprint,reach,impact,confidence,cod,sp,rice,wsjf,release_blocker
PVTI_lADOEDZbAM4BTJdjzgoqsl8,Integrar expo-secure-store para persistencia segura do JWT,https://github.com/guardiaofamilia/guardiao-familia-child/issues/14,guardiao-familia-child,14,Onda 1 - Auth/Pairing,E1,O2-KR3,S11,300,2,0.8,34,8,60.0,4.25,sim
PVTI_lADOEDZbAM4BTJdjzgoqsnY,Implementar background location tracking (GPS em segundo plano),https://github.com/guardiaofamilia/guardiao-familia-child/issues/15,guardiao-familia-child,15,Onda 3 - GPS/Geofences,E3,O1-KR2,S6,420,2,0.8,31,5,134.4,6.2,sim
PVTI_lADOEDZbAM4BTJdjzgoqspI,Implementar deteccao client-side de entrada/saida em geofences,https://github.com/guardiaofamilia/guardiao-familia-child/issues/16,guardiao-familia-child,16,Onda 3 - GPS/Geofences,E3,O1-KR2,S6,420,2,0.8,31,5,134.4,6.2,sim
PVTI_lADOEDZbAM4BTJdjzgoqsq0,Implementar protecao anti-desinstalacao (Device Admin API),https://github.com/guardiaofamilia/guardiao-familia-child/issues/17,guardiao-familia-child,17,Onda 4 - SOS/Emergencia,E4,O1-KR1,S4,500,3,0.8,39,5,240.0,7.8,sim
PVTI_lADOEDZbAM4BTJdjzgoqss0,Configurar fonte Nunito conforme prototipo,https://github.com/guardiaofamilia/guardiao-familia-child/issues/18,guardiao-familia-child,18,Onda 0 - Fundacao,E1,O2-KR2,S1,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgoqstk,Adotar expo-router para navegacao com deep linking,https://github.com/guardiaofamilia/guardiao-familia-child/issues/19,guardiao-familia-child,19,Onda 0 - Fundacao,E1,O2-KR2,S1,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgoqsvM,Criar biblioteca de componentes reutilizaveis,https://github.com/guardiaofamilia/guardiao-familia-child/issues/20,guardiao-familia-child,20,Onda 0 - Fundacao,E7,O3-KR3,S10,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgoqswM,Remover 78+ pacotes Expo nao utilizados do package.json,https://github.com/guardiaofamilia/guardiao-familia-child/issues/21,guardiao-familia-child,21,Onda 0 - Fundacao,E1,O2-KR2,S1,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgoqsyM,Adicionar Error Boundary global e deteccao offline,https://github.com/guardiaofamilia/guardiao-familia-child/issues/22,guardiao-familia-child,22,Onda 10 - Polish/Release,E1,O2-KR3,S11,500,2,0.8,34,5,160.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgoqszc,Implementar modo offline com cache de dados,https://github.com/guardiaofamilia/guardiao-familia-child/issues/23,guardiao-familia-child,23,Onda 10 - Polish/Release,E1,O2-KR3,S11,500,2,0.8,34,5,160.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgoqs1M,Integrar WebSocket (Socket.IO) para dados em tempo real,https://github.com/guardiaofamilia/guardiao-familia-child/issues/24,guardiao-familia-child,24,Onda 2 - Real-time,E3,O1-KR2,S6,420,2,0.8,31,5,134.4,6.2,sim
PVTI_lADOEDZbAM4BTJdjzgoqs3I,Implementar coleta nativa de screen time (UsageStatsManager/ScreenTime API),https://github.com/guardiaofamilia/guardiao-familia-child/issues/25,guardiao-familia-child,25,Onda 5 - Screen Time,E5,O3-KR1,S7,300,2,0.8,24,5,96.0,4.8,nao
PVTI_lADOEDZbAM4BTJdjzgoqs48,Melhorar acessibilidade no Dashboard e Mapa,https://github.com/guardiaofamilia/guardiao-familia-child/issues/26,guardiao-familia-child,26,Onda 10 - Polish/Release,E8,O2-KR3,S12,500,2,0.8,22,5,160.0,4.4,sim
PVTI_lADOEDZbAM4BTJdjzgoqtCE,[P1] Completar Onboarding 4a etapa: configurar geofences iniciais,https://github.com/guardiaofamilia/guardiao-familia-parent/issues/8,guardiao-familia-parent,8,Onda 3 - GPS/Geofences,E3,O1-KR2,S6,420,2,0.8,31,5,134.4,6.2,sim
PVTI_lADOEDZbAM4BTJdjzgoqtCw,API: endpoints de metricas historicas e saude dos servicos para o Dashboard,https://github.com/guardiaofamilia/guardiao-familia-backoffice/issues/1,guardiao-familia-backoffice,1,Onda 9 - Pagamentos/Admin,E8,O2-KR3,S12,200,1,0.5,22,5,20.0,4.4,nao
PVTI_lADOEDZbAM4BTJdjzgoqtD0,[P2] Implementar refresh automatico no Dashboard (60s + WebSocket),https://github.com/guardiaofamilia/guardiao-familia-parent/issues/9,guardiao-familia-parent,9,Onda 2 - Real-time,E8,O2-KR3,S12,420,2,0.8,22,5,134.4,4.4,sim
PVTI_lADOEDZbAM4BTJdjzgoqtEU,"API: criar usuario, acoes em massa e exportar CSV no modulo admin/users",https://github.com/guardiaofamilia/guardiao-familia-backoffice/issues/2,guardiao-familia-backoffice,2,Onda 9 - Pagamentos/Admin,E7,O3-KR3,S10,200,1,0.5,12,5,20.0,2.4,nao
PVTI_lADOEDZbAM4BTJdjzgoqtE8,[P3] Implementar criacao de geofence via long-press no mapa,https://github.com/guardiaofamilia/guardiao-familia-parent/issues/10,guardiao-familia-parent,10,Onda 3 - GPS/Geofences,E3,O1-KR2,S6,420,2,0.8,31,5,134.4,6.2,sim
PVTI_lADOEDZbAM4BTJdjzgoqtFY,API: endpoint de reversao de acao e audit trail por item no modulo de moderacao,https://github.com/guardiaofamilia/guardiao-familia-backoffice/issues/3,guardiao-familia-backoffice,3,Onda 9 - Pagamentos/Admin,E8,O2-KR3,S12,200,1,0.5,22,5,20.0,4.4,nao
PVTI_lADOEDZbAM4BTJdjzgoqtGY,[P3] Implementar edicao de geofences existentes,https://github.com/guardiaofamilia/guardiao-familia-parent/issues/11,guardiao-familia-parent,11,Onda 3 - GPS/Geofences,E3,O1-KR2,S6,420,2,0.8,31,5,134.4,6.2,sim
PVTI_lADOEDZbAM4BTJdjzgoqtHg,"API: historico de transacoes, fluxo de reembolso e exportacao no modulo financeiro",https://github.com/guardiaofamilia/guardiao-familia-backoffice/issues/4,guardiao-familia-backoffice,4,Onda 9 - Pagamentos/Admin,E8,post-release,post-release,200,1,0.5,12,5,20.0,2.4,nao
PVTI_lADOEDZbAM4BTJdjzgoqtIs,"[P4] Implementar controle de screen time completo (limites, bedtime, bloqueio)",https://github.com/guardiaofamilia/guardiao-familia-parent/issues/12,guardiao-familia-parent,12,Onda 5 - Screen Time,E5,O3-KR1,S7,300,2,0.8,24,5,96.0,4.8,nao
PVTI_lADOEDZbAM4BTJdjzgoqtJI,"API: base de conhecimento, monitoramento de conversas, token usage e A/B tests para o modulo AI",https://github.com/guardiaofamilia/guardiao-familia-backoffice/issues/5,guardiao-familia-backoffice,5,Onda 7 - AI/Conteudo,E7,O3-KR3,S10,220,1,0.8,17,5,35.2,3.4,nao
PVTI_lADOEDZbAM4BTJdjzgoqtJ4,[P4] Conectar dados de screen time nos cards de filhos (hoje mostra ---),https://github.com/guardiaofamilia/guardiao-familia-parent/issues/13,guardiao-familia-parent,13,Onda 5 - Screen Time,E1,O2-KR2,S1,300,2,0.8,24,8,60.0,3.0,sim
PVTI_lADOEDZbAM4BTJdjzgoqtKI,"[B6] Implementar modulo SOS Monitoring - mapa live, audio, escalacao",https://github.com/guardiaofamilia/guardiao-familia-backoffice/issues/6,guardiao-familia-backoffice,6,Onda 4 - SOS/Emergencia,E4,O1-KR1,S4,500,3,0.8,39,8,150.0,4.88,sim
PVTI_lADOEDZbAM4BTJdjzgoqtLI,"[P6] Melhorar AI Assistant - Markdown, streaming, typing indicator",https://github.com/guardiaofamilia/guardiao-familia-parent/issues/14,guardiao-familia-parent,14,Onda 7 - AI/Conteudo,E7,O3-KR3,S10,220,1,0.8,17,5,35.2,3.4,nao
PVTI_lADOEDZbAM4BTJdjzgoqtLc,"API: DAU/MAU, retencao e filtro de periodo no modulo de analytics",https://github.com/guardiaofamilia/guardiao-familia-backoffice/issues/7,guardiao-familia-backoffice,7,Onda 9 - Pagamentos/Admin,E8,post-release,post-release,200,1,0.5,12,5,20.0,2.4,nao
PVTI_lADOEDZbAM4BTJdjzgoqtMg,[P7] Implementar tela Perfil da Crianca - resumo semanal + missoes,https://github.com/guardiaofamilia/guardiao-familia-parent/issues/15,guardiao-familia-parent,15,Onda 6 - Gamificacao,E7,O3-KR3,S10,260,1,0.8,18,5,41.6,3.6,nao
PVTI_lADOEDZbAM4BTJdjzgoqtNQ,API: POST e DELETE de feature flags no modulo de settings,https://github.com/guardiaofamilia/guardiao-familia-backoffice/issues/8,guardiao-familia-backoffice,8,Onda 9 - Pagamentos/Admin,E8,post-release,post-release,200,1,0.5,12,5,20.0,2.4,nao
PVTI_lADOEDZbAM4BTJdjzgoqtOU,[P8] Implementar relatorios com insights IA e comparativos,https://github.com/guardiaofamilia/guardiao-familia-parent/issues/16,guardiao-familia-parent,16,Onda 5 - Screen Time,E7,O3-KR3,S10,300,2,0.8,24,5,96.0,4.8,nao
PVTI_lADOEDZbAM4BTJdjzgoqtPA,Implementar Error Boundary global,https://github.com/guardiaofamilia/guardiao-familia-backoffice/issues/9,guardiao-familia-backoffice,9,Onda 0 - Fundacao,E1,O2-KR2,S1,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgoqtQ0,"[P9] Implementar Comunidade de Pais - posts, filtros, badges",https://github.com/guardiaofamilia/guardiao-familia-parent/issues/17,guardiao-familia-parent,17,Onda 8 - Familia/Comunidade,E2,O3-KR1,S10,180,1,0.5,12,5,18.0,2.4,nao
PVTI_lADOEDZbAM4BTJdjzgoqtRE,Implementar tratamento sessao expirada (401 redirect login),https://github.com/guardiaofamilia/guardiao-familia-backoffice/issues/10,guardiao-familia-backoffice,10,Onda 0 - Fundacao,E1,O2-KR2,S1,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgoqtSA,"[P10] Implementar Configuracoes completas - plano, LGPD, notificacoes",https://github.com/guardiaofamilia/guardiao-familia-parent/issues/18,guardiao-familia-parent,18,Onda 9 - Pagamentos/Admin,E9,O2-KR1,S8,200,1,0.5,34,8,12.5,4.25,sim
PVTI_lADOEDZbAM4BTJdjzgoqtSI,Implementar 2FA (TOTP) para operacoes sensiveis,https://github.com/guardiaofamilia/guardiao-familia-backoffice/issues/11,guardiao-familia-backoffice,11,Onda 9 - Pagamentos/Admin,E8,post-release,post-release,200,1,0.5,12,5,20.0,2.4,nao
PVTI_lADOEDZbAM4BTJdjzgoqtTI,Implementar fluxo Esqueci minha senha,https://github.com/guardiaofamilia/guardiao-familia-parent/issues/19,guardiao-familia-parent,19,Onda 1 - Auth/Pairing,E2,O3-KR1,S2,300,2,0.8,20,5,96.0,4.0,nao
PVTI_lADOEDZbAM4BTJdjzgoqtTM,API: RBAC granular com roles Admin/Support/Moderator/Analyst e guards por endpoint,https://github.com/guardiaofamilia/guardiao-familia-backoffice/issues/12,guardiao-familia-backoffice,12,Onda 9 - Pagamentos/Admin,E1,O2-KR2,S1,200,1,0.5,12,8,12.5,1.5,sim
PVTI_lADOEDZbAM4BTJdjzgoqtUE,Implementar gestao de membros da familia (convidar/remover),https://github.com/guardiaofamilia/guardiao-familia-parent/issues/20,guardiao-familia-parent,20,Onda 8 - Familia/Comunidade,E7,O3-KR3,S10,180,1,0.5,12,5,18.0,2.4,nao
PVTI_lADOEDZbAM4BTJdjzgoqtUU,Extrair componente Badge compartilhado (duplicado 4x),https://github.com/guardiaofamilia/guardiao-familia-backoffice/issues/13,guardiao-familia-backoffice,13,Onda 0 - Fundacao,E1,O2-KR2,S1,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgoqtVU,Implementar edicao/exclusao de filhos apos onboarding,https://github.com/guardiaofamilia/guardiao-familia-parent/issues/21,guardiao-familia-parent,21,Onda 8 - Familia/Comunidade,E2,O3-KR1,S10,180,1,0.5,12,5,18.0,2.4,nao
PVTI_lADOEDZbAM4BTJdjzgoqtWE,Instalar Lucide React e substituir emojis por icones profissionais,https://github.com/guardiaofamilia/guardiao-familia-backoffice/issues/14,guardiao-familia-backoffice,14,Onda 0 - Fundacao,E1,O2-KR2,S1,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgoqtXE,Refatorar ParentHome.tsx (1600 linhas) em sub-componentes,https://github.com/guardiaofamilia/guardiao-familia-parent/issues/22,guardiao-familia-parent,22,Onda 0 - Fundacao,E1,O2-KR2,S1,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgoqtYA,Implementar skeletons de loading em todas as paginas,https://github.com/guardiaofamilia/guardiao-familia-backoffice/issues/15,guardiao-familia-backoffice,15,Onda 0 - Fundacao,E1,O2-KR2,S1,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgoqtZY,Adotar Expo Router para navegacao com deep linking,https://github.com/guardiaofamilia/guardiao-familia-parent/issues/23,guardiao-familia-parent,23,Onda 10 - Polish/Release,E1,O2-KR3,S11,500,2,0.8,34,5,160.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgoqtaQ,Implementar dark mode (CSS vars ja existem),https://github.com/guardiaofamilia/guardiao-familia-backoffice/issues/16,guardiao-familia-backoffice,16,Onda 10 - Polish/Release,E1,O2-KR3,S11,500,2,0.8,34,5,160.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgoqta8,"Criar componentes reutilizaveis (Button, Input, Card, Chip, Avatar)",https://github.com/guardiaofamilia/guardiao-familia-parent/issues/24,guardiao-familia-parent,24,Onda 0 - Fundacao,E7,O3-KR3,S10,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgoqtbs,Implementar sidebar responsiva para mobile/tablet,https://github.com/guardiaofamilia/guardiao-familia-backoffice/issues/17,guardiao-familia-backoffice,17,Onda 0 - Fundacao,E1,O2-KR2,S1,600,3,0.8,34,5,288.0,6.8,sim
PVTI_lADOEDZbAM4BTJdjzgoqtcQ,Bug: TODAY_LABEL fica stale apos meia-noite,https://github.com/guardiaofamilia/guardiao-familia-parent/issues/25,guardiao-familia-parent,25,Onda 0 - Fundacao,E7,O3-KR3,S10,600,3,0.8,34,5,288.0,6.8,sim
