id,title,repo,suggested_files,context_summary,acceptance_hints,blocker_reason
T-I04-003,Redis ElastiCache session,guardiao-familia-api,guardiao-familia-api/src/migrations;guardiao-familia-api/src/database;guardiao-familia-api/prisma;guardiao-familia-api/docker-compose.yml;guardiao-familia-api/src/auth;guardiao-familia-api/services/auth;guardiao-familia-api/contexts/AuthContext,"**Objetivo:** Redis ElastiCache session **Épico:** E-I04 PostgreSQL, Redis e migrations · **Trilha:** infraestrutura · **OKR O2** — Fundação produção: infra AWS, compliance, stores e operação. **Sprint 2** · Repo `guardiao-familia-api` · Baseline `partial` · **Release blocker** **Motivo blocker:** Capacidade de dados em prod — bloqueia cutover e testes de carga reais. **Refinamento:** implementação parcial existente — completar gaps e testes.",Critério bloqueante release — exigir review + testes antes merge.,Capacidade de dados em prod — bloqueia cutover e testes de carga reais.
T-P04-005,Push SOS parent em <30s iOS,guardiao-familia-api,guardiao-familia-api/src/sos;guardiao-familia-api/src/escalation;guardiao-familia-api/src/notifications;guardiao-familia-api/src/storage;guardiao-familia-api/src/devices;guardiao-familia-api/services/push;guardiao-familia-api/components/sos;guardiao-familia-api/ios,"**Objetivo:** Push SOS parent em <30s iOS **Épico:** E-P04 SOS e emergência · **Trilha:** produto · **OKR O1** — Confiabilidade em tempo real: localização, SOS, push e geofences para pais. **Sprint 5** · Repo `guardiao-familia-api` · Baseline `todo` · **Release blocker** **Motivo blocker:** KR O1: notificação SOS ao responsável em menos de 30 segundos. **Refinamento:** Feature E2E — alterações em API e/ou apps conforme repo.",Validar em simulador/dispositivo iOS; permissoes no Info.plist.;Critério bloqueante release — exigir review + testes antes merge.,KR O1: notificação SOS ao responsável em menos de 30 segundos.
T-P04-006,Push SOS parent em <30s Android,guardiao-familia-api,guardiao-familia-api/src/sos;guardiao-familia-api/src/escalation;guardiao-familia-api/src/notifications;guardiao-familia-api/src/storage;guardiao-familia-api/src/devices;guardiao-familia-api/services/push;guardiao-familia-api/components/sos;guardiao-familia-api/android,"**Objetivo:** Push SOS parent em <30s Android **Épico:** E-P04 SOS e emergência · **Trilha:** produto · **OKR O1** — Confiabilidade em tempo real: localização, SOS, push e geofences para pais. **Sprint 5** · Repo `guardiao-familia-api` · Baseline `todo` · **Release blocker** **Motivo blocker:** KR O1: notificação SOS ao responsável em menos de 30 segundos. **Refinamento:** Feature E2E — alterações em API e/ou apps conforme repo.",Validar em emulador/dispositivo Android; data safety se stores.;Critério bloqueante release — exigir review + testes antes merge.,KR O1: notificação SOS ao responsável em menos de 30 segundos.
T-P03-005,Notificação entrada/saída cerca E2E iOS,guardiao-familia-api,guardiao-familia-api/src/geofences;guardiao-familia-api/src/notifications;guardiao-familia-api/src/location;guardiao-familia-api/test;guardiao-familia-api/tests;guardiao-familia-api/__tests__;guardiao-familia-api/e2e;guardiao-familia-api/src/devices,"**Objetivo:** Notificação entrada/saída cerca E2E iOS **Épico:** E-P03 Geofences e alertas · **Trilha:** produto · **OKR O1** — Confiabilidade em tempo real: localização, SOS, push e geofences para pais. **Sprint 6** · Repo `guardiao-familia-api` · Baseline `todo` · **Release blocker** **Motivo blocker:** KR O1: alerta entrada/saída de cerca validado ponta a ponta. **Refinamento:** Feature E2E — alterações em API e/ou apps conforme repo.",Cobertura reproduzível em CI; documentar comando de execução.;Validar em simulador/dispositivo iOS; permissoes no Info.plist.;Critério bloqueante release — exigir review + testes antes merge.,KR O1: alerta entrada/saída de cerca validado ponta a ponta.
T-P03-006,Notificação entrada/saída cerca E2E Android,guardiao-familia-api,guardiao-familia-api/src/geofences;guardiao-familia-api/src/notifications;guardiao-familia-api/src/location;guardiao-familia-api/test;guardiao-familia-api/tests;guardiao-familia-api/__tests__;guardiao-familia-api/e2e;guardiao-familia-api/src/devices,"**Objetivo:** Notificação entrada/saída cerca E2E Android **Épico:** E-P03 Geofences e alertas · **Trilha:** produto · **OKR O1** — Confiabilidade em tempo real: localização, SOS, push e geofences para pais. **Sprint 6** · Repo `guardiao-familia-api` · Baseline `todo` · **Release blocker** **Motivo blocker:** KR O1: alerta entrada/saída de cerca validado ponta a ponta. **Refinamento:** Feature E2E — alterações em API e/ou apps conforme repo.",Cobertura reproduzível em CI; documentar comando de execução.;Validar em emulador/dispositivo Android; data safety se stores.;Critério bloqueante release — exigir review + testes antes merge.,KR O1: alerta entrada/saída de cerca validado ponta a ponta.
T-S01-005,Review notes location background,guardiao-familia-parent,guardiao-familia-parent/app.config.js;guardiao-familia-parent/ios;guardiao-familia-parent/eas.json;guardiao-familia-parent/docs/store/apple-parent;guardiao-familia-parent/src/location;guardiao-familia-parent/src/maps;guardiao-familia-parent/components/map;guardiao-familia-parent/services/location,"**Objetivo:** Review notes location background **Épico:** E-S01 Apple App Store parent · **Trilha:** stores · **OKR O2** — Fundação produção: infra AWS, compliance, stores e operação. **Sprint 11** · Repo `guardiao-familia-parent` · Baseline `todo` · **Release blocker** **Motivo blocker:** Apple rejeita apps com background location sem review notes adequadas. **Refinamento:** Publicação App Store / Google Play — versões, review notes, checklist.",Critério bloqueante release — exigir review + testes antes merge.,Apple rejeita apps com background location sem review notes adequadas.
T-S01-006,Submit production parent,guardiao-familia-parent,guardiao-familia-parent/app.config.js;guardiao-familia-parent/ios;guardiao-familia-parent/eas.json;guardiao-familia-parent/docs/store/apple-parent;guardiao-familia-parent/docs/store;guardiao-familia-parent/fastlane,"**Objetivo:** Submit production parent **Épico:** E-S01 Apple App Store parent · **Trilha:** stores · **OKR O2** — Fundação produção: infra AWS, compliance, stores e operação. **Sprint 11** · Repo `guardiao-familia-parent` · Baseline `todo` · **Release blocker** **Motivo blocker:** Publicação nas stores — rejeição ou delay bloqueia receita e KR O2. **Refinamento:** Publicação App Store / Google Play — versões, review notes, checklist.",Critério bloqueante release — exigir review + testes antes merge.,Publicação nas stores — rejeição ou delay bloqueia receita e KR O2.
T-S02-005,Submit production child,guardiao-familia-child,guardiao-familia-child/app.config.js;guardiao-familia-child/ios;guardiao-familia-child/eas.json;guardiao-familia-child/docs/store/apple-child;guardiao-familia-child/docs/store;guardiao-familia-child/fastlane,"**Objetivo:** Submit production child **Épico:** E-S02 Apple App Store child · **Trilha:** stores · **OKR O2** — Fundação produção: infra AWS, compliance, stores e operação. **Sprint 11** · Repo `guardiao-familia-child` · Baseline `todo` · **Release blocker** **Evidência código:** commit `True` — revisar diff como ponto de partida. **Motivo blocker:** Publicação nas stores — rejeição ou delay bloqueia receita e KR O2. **Refinamento:** Publicação App Store / Google Play — versões, review notes, c",Critério bloqueante release — exigir review + testes antes merge.,Publicação nas stores — rejeição ou delay bloqueia receita e KR O2.
T-S06-008,Release: version sync matrix 4 apps,guardiao-familia-api,guardiao-familia-api/docs/release;guardiao-familia-api/CHANGELOG.md;guardiao-familia-api/.github/workflows/release;guardiao-familia-api/eas.json;guardiao-familia-api/app.config.js;guardiao-familia-api/docs/store;guardiao-familia-api/fastlane,"**Objetivo:** Release: version sync matrix 4 apps **Épico:** E-S05 Coordenação release e beta · **Trilha:** stores · **OKR O2** — Fundação produção: infra AWS, compliance, stores e operação. **Sprint 13** · Repo `guardiao-familia-api` · Baseline `todo` · **Release blocker** **Motivo blocker:** Matriz de versão e plano de rollback são obrigatórios para release coordenado das 4 apps. **Refinamento:** Publicação App Store / Google Play — versões, review notes, checklist.",Critério bloqueante release — exigir review + testes antes merge.,Matriz de versão e plano de rollback são obrigatórios para release coordenado das 4 apps.
T-S06-009,Release: rollback store version plan,guardiao-familia-api,guardiao-familia-api/docs/release;guardiao-familia-api/CHANGELOG.md;guardiao-familia-api/.github/workflows/release;guardiao-familia-api/eas.json;guardiao-familia-api/app.config.js;guardiao-familia-api/docs/store;guardiao-familia-api/fastlane,"**Objetivo:** Release: rollback store version plan **Épico:** E-S05 Coordenação release e beta · **Trilha:** stores · **OKR O2** — Fundação produção: infra AWS, compliance, stores e operação. **Sprint 13** · Repo `guardiao-familia-api` · Baseline `todo` · **Release blocker** **Motivo blocker:** Matriz de versão e plano de rollback são obrigatórios para release coordenado das 4 apps. **Refinamento:** Publicação App Store / Google Play — versões, review notes, checklist.",Critério bloqueante release — exigir review + testes antes merge.,Matriz de versão e plano de rollback são obrigatórios para release coordenado das 4 apps.
T-S03-005,Production rollout parent,guardiao-familia-parent,guardiao-familia-parent/app.config.js;guardiao-familia-parent/android;guardiao-familia-parent/eas.json;guardiao-familia-parent/docs/store/google-parent,"**Objetivo:** Production rollout parent **Épico:** E-S03 Google Play parent · **Trilha:** stores · **OKR O2** — Fundação produção: infra AWS, compliance, stores e operação. **Sprint 12** · Repo `guardiao-familia-parent` · Baseline `todo` · **Release blocker** **Motivo blocker:** Publicação nas stores — rejeição ou delay bloqueia receita e KR O2. **Refinamento:** Publicação App Store / Google Play — versões, review notes, checklist.",Critério bloqueante release — exigir review + testes antes merge.,Publicação nas stores — rejeição ou delay bloqueia receita e KR O2.
T-S04-005,Production rollout child,guardiao-familia-child,guardiao-familia-child/app.config.js;guardiao-familia-child/android;guardiao-familia-child/eas.json;guardiao-familia-child/docs/store/google-child,"**Objetivo:** Production rollout child **Épico:** E-S04 Google Play child · **Trilha:** stores · **OKR O2** — Fundação produção: infra AWS, compliance, stores e operação. **Sprint 12** · Repo `guardiao-familia-child` · Baseline `todo` · **Release blocker** **Motivo blocker:** Publicação nas stores — rejeição ou delay bloqueia receita e KR O2. **Refinamento:** Publicação App Store / Google Play — versões, review notes, checklist.",Critério bloqueante release — exigir review + testes antes merge.,Publicação nas stores — rejeição ou delay bloqueia receita e KR O2.
T-S05-001,Checklist release blocker consolidado,guardiao-familia-api,guardiao-familia-api/docs/release;guardiao-familia-api/CHANGELOG.md;guardiao-familia-api/.github/workflows/release;guardiao-familia-api/eas.json;guardiao-familia-api/app.config.js;guardiao-familia-api/docs/store;guardiao-familia-api/fastlane,"**Objetivo:** Checklist release blocker consolidado **Épico:** E-S05 Coordenação release e beta · **Trilha:** stores · **OKR O2** — Fundação produção: infra AWS, compliance, stores e operação. **Sprint 13** · Repo `guardiao-familia-api` · Baseline `todo` · **Release blocker** **Motivo blocker:** Consolida todos os release blockers técnicos e de compliance antes do go-live. **Refinamento:** Publicação App Store / Google Play — versões, review notes, checklist.",Critério bloqueante release — exigir review + testes antes merge.,Consolida todos os release blockers técnicos e de compliance antes do go-live.
T-I01-005,ECR repository e lifecycle,guardiao-familia-api,guardiao-familia-api/infra/terraform;guardiao-familia-api/terraform/ecs;guardiao-familia-api/docker;guardiao-familia-api/docs/runbooks;guardiao-familia-api/terraform/modules,"**Objetivo:** ECR repository e lifecycle **Épico:** E-I01 AWS ECS Fargate foundation · **Trilha:** infraestrutura · **OKR O2** — Fundação produção: infra AWS, compliance, stores e operação. **Sprint 1** · Repo `guardiao-familia-api` · Baseline `todo` · **Release blocker** **Motivo blocker:** Componente crítico da fundação AWS — sem ele não há ambiente prod confiável. **Refinamento:** AWS, CI/CD, banco, observabilidade — priorizar IaC e runbooks.",Critério bloqueante release — exigir review + testes antes merge.,Componente crítico da fundação AWS — sem ele não há ambiente prod confiável.
T-I01-006,Service autoscaling CPU/mem,guardiao-familia-api,guardiao-familia-api/infra/terraform;guardiao-familia-api/terraform/ecs;guardiao-familia-api/docker;guardiao-familia-api/docs/runbooks,"**Objetivo:** Service autoscaling CPU/mem **Épico:** E-I01 AWS ECS Fargate foundation · **Trilha:** infraestrutura · **OKR O2** — Fundação produção: infra AWS, compliance, stores e operação. **Sprint 1** · Repo `guardiao-familia-api` · Baseline `todo` · **Release blocker** **Motivo blocker:** Fundação AWS (VPC, ECS, ALB, DNS/TLS) bloqueia deploy produção da API e validação E2E real. **Refinamento:** AWS, CI/CD, banco, observabilidade — priorizar IaC e runbooks.",Critério bloqueante release — exigir review + testes antes merge.,"Fundação AWS (VPC, ECS, ALB, DNS/TLS) bloqueia deploy produção da API e validação E2E real."
T-I01-007,Secrets Manager env injection,guardiao-familia-api,guardiao-familia-api/infra/terraform;guardiao-familia-api/terraform/ecs;guardiao-familia-api/docker;guardiao-familia-api/docs/runbooks;guardiao-familia-api/terraform/modules,"**Objetivo:** Secrets Manager env injection **Épico:** E-I01 AWS ECS Fargate foundation · **Trilha:** infraestrutura · **OKR O2** — Fundação produção: infra AWS, compliance, stores e operação. **Sprint 1** · Repo `guardiao-familia-api` · Baseline `todo` · **Release blocker** **Motivo blocker:** Componente crítico da fundação AWS — sem ele não há ambiente prod confiável. **Refinamento:** AWS, CI/CD, banco, observabilidade — priorizar IaC e runbooks.",Critério bloqueante release — exigir review + testes antes merge.,Componente crítico da fundação AWS — sem ele não há ambiente prod confiável.
T-I01-008,Route53 DNS api.guardiaofamilia,guardiao-familia-api,guardiao-familia-api/infra/terraform;guardiao-familia-api/terraform/ecs;guardiao-familia-api/docker;guardiao-familia-api/docs/runbooks;guardiao-familia-api/terraform/modules,"**Objetivo:** Route53 DNS api.guardiaofamilia **Épico:** E-I01 AWS ECS Fargate foundation · **Trilha:** infraestrutura · **OKR O2** — Fundação produção: infra AWS, compliance, stores e operação. **Sprint 1** · Repo `guardiao-familia-api` · Baseline `todo` · **Release blocker** **Motivo blocker:** Componente crítico da fundação AWS — sem ele não há ambiente prod confiável. **Refinamento:** AWS, CI/CD, banco, observabilidade — priorizar IaC e runbooks.",Critério bloqueante release — exigir review + testes antes merge.,Componente crítico da fundação AWS — sem ele não há ambiente prod confiável.
T-I01-009,ACM cert TLS,guardiao-familia-api,guardiao-familia-api/infra/terraform;guardiao-familia-api/terraform/ecs;guardiao-familia-api/docker;guardiao-familia-api/docs/runbooks;guardiao-familia-api/terraform/modules,"**Objetivo:** ACM cert TLS **Épico:** E-I01 AWS ECS Fargate foundation · **Trilha:** infraestrutura · **OKR O2** — Fundação produção: infra AWS, compliance, stores e operação. **Sprint 1** · Repo `guardiao-familia-api` · Baseline `todo` · **Release blocker** **Motivo blocker:** Componente crítico da fundação AWS — sem ele não há ambiente prod confiável. **Refinamento:** AWS, CI/CD, banco, observabilidade — priorizar IaC e runbooks.",Critério bloqueante release — exigir review + testes antes merge.,Componente crítico da fundação AWS — sem ele não há ambiente prod confiável.
T-I01-010,Documentar runbook deploy ECS,guardiao-familia-api,guardiao-familia-api/infra/terraform;guardiao-familia-api/terraform/ecs;guardiao-familia-api/docker;guardiao-familia-api/docs/runbooks;guardiao-familia-api/terraform/modules;guardiao-familia-api/.github/workflows;guardiao-familia-api/scripts/ci,"**Objetivo:** Documentar runbook deploy ECS **Épico:** E-I01 AWS ECS Fargate foundation · **Trilha:** infraestrutura · **OKR O2** — Fundação produção: infra AWS, compliance, stores e operação. **Sprint 1** · Repo `guardiao-familia-api` · Baseline `todo` · **Release blocker** **Motivo blocker:** Componente crítico da fundação AWS — sem ele não há ambiente prod confiável. **Refinamento:** AWS, CI/CD, banco, observabilidade — priorizar IaC e runbooks.",Entregável em markdown no repo; linkar no PR.;Critério bloqueante release — exigir review + testes antes merge.,Componente crítico da fundação AWS — sem ele não há ambiente prod confiável.
T-I06-002,Prod cutover checklist,guardiao-familia-api,guardiao-familia-api/infra/terraform/environments;guardiao-familia-api/docs/runbooks;guardiao-familia-api/.env.example,"**Objetivo:** Prod cutover checklist **Épico:** E-I06 Ambientes staging e produção · **Trilha:** infraestrutura · **OKR O2** — Fundação produção: infra AWS, compliance, stores e operação. **Sprint 12** · Repo `guardiao-familia-api` · Baseline `todo` · **Release blocker** **Motivo blocker:** Migração staging→prod — erro causa downtime ou perda de dados. **Refinamento:** AWS, CI/CD, banco, observabilidade — priorizar IaC e runbooks.",Critério bloqueante release — exigir review + testes antes merge.,Migração staging→prod — erro causa downtime ou perda de dados.
T-P11-009,DPO sign-off release,guardiao-familia-api,guardiao-familia-api/src/compliance;guardiao-familia-api/src/users;guardiao-familia-api/docs/lgpd;guardiao-familia-api/eas.json;guardiao-familia-api/app.config.js;guardiao-familia-api/docs/store;guardiao-familia-api/fastlane,"**Objetivo:** DPO sign-off release **Épico:** E-P11 LGPD e compliance produto · **Trilha:** produto · **OKR O2** — Fundação produção: infra AWS, compliance, stores e operação. **Sprint 8** · Repo `guardiao-familia-api` · Baseline `todo` · **Release blocker** **Motivo blocker:** Gate legal LGPD — obrigatório antes de release público. **Refinamento:** Feature E2E — alterações em API e/ou apps conforme repo.",Critério bloqueante release — exigir review + testes antes merge.,Gate legal LGPD — obrigatório antes de release público.
T-I04-002,RDS PostgreSQL multi-AZ prod,guardiao-familia-api,guardiao-familia-api/src/migrations;guardiao-familia-api/src/database;guardiao-familia-api/prisma;guardiao-familia-api/docker-compose.yml,"**Objetivo:** RDS PostgreSQL multi-AZ prod **Épico:** E-I04 PostgreSQL, Redis e migrations · **Trilha:** infraestrutura · **OKR O2** — Fundação produção: infra AWS, compliance, stores e operação. **Sprint 2** · Repo `guardiao-familia-api` · Baseline `todo` · **Release blocker** **Motivo blocker:** Capacidade de dados em prod — bloqueia cutover e testes de carga reais. **Refinamento:** AWS, CI/CD, banco, observabilidade — priorizar IaC e runbooks.",Critério bloqueante release — exigir review + testes antes merge.,Capacidade de dados em prod — bloqueia cutover e testes de carga reais.
T-I04-004,Backup automático PITR,guardiao-familia-api,guardiao-familia-api/src/migrations;guardiao-familia-api/src/database;guardiao-familia-api/prisma;guardiao-familia-api/docker-compose.yml,"**Objetivo:** Backup automático PITR **Épico:** E-I04 PostgreSQL, Redis e migrations · **Trilha:** infraestrutura · **OKR O2** — Fundação produção: infra AWS, compliance, stores e operação. **Sprint 2** · Repo `guardiao-familia-api` · Baseline `todo` · **Release blocker** **Motivo blocker:** Capacidade de dados em prod — bloqueia cutover e testes de carga reais. **Refinamento:** AWS, CI/CD, banco, observabilidade — priorizar IaC e runbooks.",Critério bloqueante release — exigir review + testes antes merge.,Capacidade de dados em prod — bloqueia cutover e testes de carga reais.
T-I04-005,Migration strategy zero-downtime,guardiao-familia-api,guardiao-familia-api/src/migrations;guardiao-familia-api/src/database;guardiao-familia-api/prisma;guardiao-familia-api/docker-compose.yml,"**Objetivo:** Migration strategy zero-downtime **Épico:** E-I04 PostgreSQL, Redis e migrations · **Trilha:** infraestrutura · **OKR O2** — Fundação produção: infra AWS, compliance, stores e operação. **Sprint 2** · Repo `guardiao-familia-api` · Baseline `todo` · **Release blocker** **Motivo blocker:** Capacidade de dados em prod — bloqueia cutover e testes de carga reais. **Refinamento:** AWS, CI/CD, banco, observabilidade — priorizar IaC e runbooks.",Critério bloqueante release — exigir review + testes antes merge.,Capacidade de dados em prod — bloqueia cutover e testes de carga reais.
T-I04-006,Índices performance geofence/location,guardiao-familia-api,guardiao-familia-api/src/migrations;guardiao-familia-api/src/database;guardiao-familia-api/prisma;guardiao-familia-api/docker-compose.yml;guardiao-familia-api/src/location;guardiao-familia-api/src/maps;guardiao-familia-api/components/map;guardiao-familia-api/services/location,"**Objetivo:** Índices performance geofence/location **Épico:** E-I04 PostgreSQL, Redis e migrations · **Trilha:** infraestrutura · **OKR O2** — Fundação produção: infra AWS, compliance, stores e operação. **Sprint 2** · Repo `guardiao-familia-api` · Baseline `todo` · **Release blocker** **Motivo blocker:** Capacidade de dados em prod — bloqueia cutover e testes de carga reais. **Refinamento:** AWS, CI/CD, banco, observabilidade — priorizar IaC e runbooks.",Critério bloqueante release — exigir review + testes antes merge.,Capacidade de dados em prod — bloqueia cutover e testes de carga reais.
