task_id,title,effort_sp,sprint
T-I07-003,Infra: OIDC GitHub Actions AWS role,3,2
T-I07-004,Infra: Branch protection rules 6 repos,3,2
T-I07-005,Infra: Log retention 90d compliance,3,3
T-I07-006,Infra: Connection pool tuning API,3,2
T-I07-007,Infra: Security group least ingress,3,4
T-I07-008,Infra: Blue/green deploy ECS eval,3,12
T-P10-007,SOS button acessível,2,9
T-P10-009,Tutorial primeiro uso child,2,9
T-P01-001,Revisar fluxo login parent refresh token persistente,3,2
T-P01-002,Revisar fluxo login child remember device,3,2
T-P01-005,Documentar política supersession device,3,2
T-P01-008,Fluxo recuperação conta responsável,3,2
T-P01-009,Validar onboarding profile API + parent,3,2
T-P14-001,API notifications: push token register/unregister,2,6
T-P14-002,API realtime: websocket gateway reconnect policy,2,6
T-P14-003,API escalation: SOS escalation timer config,2,6
T-P14-007,API payments: Stripe webhook idempotency audit,2,6
T-P14-009,API analytics: event schema child location,2,6
T-P14-011,API monitoring: health check deep dependencies,2,6
T-P14-012,API email: template SOS parent notification,2,6
T-P14-015,API tutorials: parent onboarding tutorial fetch,2,6
T-P14-016,API client-config: remote config parent minimum version,2,6
T-P14-019,API admin: admin audit actions log,2,6
T-P14-020,API cache: Redis cache invalidation pairing,2,6
T-P14-023,API children: child profile avatar presign,2,6
T-P14-024,API pairing: QR code expiry policy,2,6
T-P14-025,API families: multi-guardian permission matrix,2,6
T-P14-028,API referral: referral reward fulfillment,2,6
T-P14-029,API gamification: badge criteria documentation,2,6
T-P14-033,API support: support ticket SLA metrics,2,6
T-P14-036,API system-config: feature toggle geofence v2,2,6
T-P14-037,API i18n: PT-BR string audit parent,2,6
T-P14-038,API i18n: PT-BR string audit child,2,6
T-P14-039,API health: readiness vs liveness split,2,6
T-P06-003,Parent UI pedido tempo extra,3,7
T-P06-004,Child UI status tempo de tela,3,7
T-P06-007,Relatório uso apps child,3,7
T-P09-003,Assistente IA chat parent MVP,3,10
T-P09-005,Dashboard home widgets,3,10
T-P09-008,Localização permissões UX iOS,3,10
T-P09-009,Localização permissões UX Android,3,10
T-P08-004,Parent UI gestão família,3,8
T-P08-005,Parent UI mensagens família,3,8
T-P07-002,Child UI lista conquistas,2,9
T-P07-004,Tutorial gamificação onboarding,2,9
T-P10-008,Indicador conexão offline,2,9
T-P10-010,Testes dispositivos Android baixo RAM,2,9
T-P14-010,API metrics: Prometheus endpoint scrape ECS,2,6
T-P14-021,API maps: Mapbox token rotation procedure,2,6
T-P14-026,API family-messages: message read receipt,2,6
T-P14-027,API family-access: invite link deep link,2,6
T-P14-030,API community: community feed out-of-scope flag,2,6
T-P14-034,API support: admin reply push notification,2,6
T-P01-004,Testes E2E pareamento QR parent-child,3,2
T-P01-007,Auditar expiração JWT e refresh em todos clients,3,2
T-P06-005,Notificação push pedido extra,3,7
T-P06-009,Testes E2E pedido extra aprovado,3,7
T-P06-010,Testes E2E pedido extra negado,3,7
T-P06-011,Exibir features ST ocultas parent,3,7
T-P09-004,Relatórios localização semanal,3,10
T-P09-006,Deep link push notification,3,10
T-P09-007,Acessibilidade VoiceOver mapa,3,10
T-P08-007,Community module backlog only,3,8
T-P07-003,Animação unlock conquista,2,9
T-P07-005,Testes regressão gamification,2,9
T-P09-013,Parent: Mapbox style tokens produção,2,10
T-P09-014,Parent: Safe area insets iPhone notch,2,10
T-P09-015,Parent: Tablet layout responsivo,2,10
T-P09-016,Parent: Biometria login Face ID,2,10
T-P09-017,Parent: Biometria login fingerprint Android,2,10
T-P09-018,Parent: Share sheet convite família,2,10
T-P09-019,Parent: Push permission prompt timing,2,10
T-P09-020,Parent: Settings toggles notificações por tipo,2,10
T-P09-021,Parent: SOS histórico filtros data,2,10
T-P09-022,Parent: Geofence list empty state UX,2,10
T-P09-023,Parent: Loading skeleton mapa,2,10
T-P09-024,Parent: Error boundary tela mapa,2,10
T-P09-025,Parent: Offline banner sem rede,2,10
T-P09-026,Parent: Analytics screen view mapa,2,10
T-P09-027,Parent: Crash reporting Sentry parent,2,10
T-P10-011,Child: Ícone app adaptive Android,2,9
T-P10-012,Child: Splash screen animada,2,9
T-P10-013,Child: Haptic feedback SOS,2,9
T-P10-014,Child: Low power mode location degrade,2,9
T-P10-015,Child: Permissão câmera QR pairing,2,9
T-P10-016,Child: Feedback visual ping enviado,2,9
T-P10-017,Child: Modo escuro child,2,9
T-P10-018,Child: Font scaling acessibilidade,2,9
T-P10-019,Child: Crash reporting Sentry child,2,9
T-P10-020,Child: Analytics evento SOS triggered,2,9
T-P10-021,Child: Widget SOS Android backlog doc,2,9
T-P10-022,Child: App shortcuts SOS Android,2,9
T-P13-005,SEO meta tags release,2,12
T-P13-006,Página status incidentes,2,12
T-P13-007,Atualizar screenshots apps release,2,12
T-P02-001,Validar Mapbox road-matched routes API,3,4
T-P02-002,Validar sync offline batch idempotente,3,4
T-P02-003,Persist tracking mode offline routes,3,4
T-P02-004,Parent render matched routes no mapa,3,4
T-P02-005,Child sample quality offline routes,3,4
T-P02-006,Recovery route quando Mapbox indisponível,3,4
T-P02-008,Battery policy child location background,3,4
T-P02-009,Nudge refresh location child,3,4
T-P05-007,API mapear soundId por tipo alerta,3,3
T-P04-001,API SOS create/update/attach audio,5,5
T-P04-002,Presign upload áudio SOS S3,5,5
T-P03-001,Avaliar geofence em batch pings API,5,6
T-P03-008,Documentar regras tolerância stale ping,5,6
T-S04-003,Validate GP submit secret CI,3,12
T-I02-002,Gate deploy por branch main,3,2
T-I02-003,Automate cache purge Cloudflare,3,2
T-I02-004,EAS update workflow parent,3,2
T-I02-005,EAS submit iOS parent,3,2
T-I02-007,Backoffice SSM deploy sa-east-1,3,2
T-P12-001,Live support board produção,2,11
T-P12-002,Support audio playback,2,11
T-P12-003,Cloudflare analytics dashboard,2,11
T-P12-004,Role-based menu sidebar,2,11
T-P12-005,Leads listing overview,2,11
T-P10-001,Pairing help simplificado,2,9
T-P10-002,App name PT-BR copy,2,9
T-P10-003,Privacy compliance App Store,2,9
T-P10-004,Background location hardening,2,9
T-P10-005,Invalid session reset,2,9
T-P10-006,Release 2.0.0 estabilização,2,9
T-P01-003,Validar revogação sessão child ao desvincular,3,2
T-P01-006,Hardening rate-limit auth 429 falsos positivos,3,2
T-P01-010,Checklist segurança pareamento child sem guardian,3,2
T-P14-004,API chatbot: site chatbot intent routing,2,6
T-P14-005,API ai: support classifier rollout,2,6
T-P14-006,API ai: disable placeholder provider default,2,6
T-P14-008,API payments: paywall feature flag off prod,2,6
T-P14-013,API email: template extra-time request,2,6
T-P14-014,API content: tutorial CMS API CRUD,2,6
T-P14-017,API pre-launch: waitlist lead capture API,2,6
T-P14-018,API accounting: CPC fiscal endpoints BO,2,6
T-P14-022,API devices: device supersession integration test,2,6
T-P14-035,API storage: SOS audio MIME validation,2,6
T-P09-001,Mapa rotas matched estabilidade,3,10
T-P09-002,Offline route refresh seguro,3,10
T-P09-010,Remover URL plan config stale,3,10
T-P09-011,Jest release checks estáveis,3,10
T-P09-012,Paywall permanece desabilitado release,3,10
T-P06-001,API regras tempo de tela CRUD,3,7
T-P06-002,API pedido tempo extra create/decide,3,7
T-P06-006,E-mail notificação pedido extra,3,7
T-P06-008,Política extra-time applies date,3,7
T-P08-001,API family members CRUD,3,8
T-P08-002,API family messages,3,8
T-P08-003,API family access invites,3,8
T-P08-006,Referral rewards API,3,8
T-P07-001,API conquistas e pontos child,2,9
T-P13-001,CNPJ páginas legais,2,12
T-P13-002,Chatbot widget site,2,12
T-P13-003,Links download pré-lançamento,2,12
T-P13-004,Campanha 30 dias estrutura,2,12
